Name	Start	Duration	Time Format	Type	Description
Marker 09	2:07.139	0:00.000	decimal	Cue	
CD Track 10	2:10.813	0:00.000	decimal	Track	
Marker 10	2:18.538	0:00.000	decimal	Cue	
CD Track 12	2:25.666	0:00.000	decimal	Track	
Marker 11	2:29.530	0:00.000	decimal	Cue	
CD Track 13	2:35.173	0:00.000	decimal	Track	
CD Track 14	2:39.346	0:00.000	decimal	Track	
CD Track 15	2:42.786	0:00.000	decimal	Track	
Marker 12	2:48.482	0:00.000	decimal	Cue	
CD Track 17	2:50.706	0:00.000	decimal	Track	
CD Track 18	2:53.560	0:00.000	decimal	Track	
Marker 01	2:57.248	0:00.000	decimal	Cue	
CD Track 01	3:02.706	0:00.000	decimal	Track	
Marker 02	3:06.892	0:00.000	decimal	Cue	
CD Track 02	3:09.320	0:00.000	decimal	Track	
Marker 03	3:14.836	0:00.000	decimal	Cue	
CD Track 03	3:17.253	0:00.000	decimal	Track	
CD Track 04	3:23.240	0:00.000	decimal	Cue	
CD Track 06	3:26.826	0:00.000	decimal	Track	
Marker 06	3:33.943	0:00.000	decimal	Cue	
CD Track 07	3:36.360	0:00.000	decimal	Track	
Marker 07	3:41.836	0:00.000	decimal	Cue	
Marker 08	3:48.428	0:00.000	decimal	Cue	
