verse,ar,en,timestamps
15:30,فَسَجَدَ الْمَلَئِكَةُ,So the angels prostrated -,2:57.248
,كُلُّهُمْ أَجْمَعُونَ,"all of them entirely,",3:02.706
15:31,إِلَّا إِبْلِيسَ,Except Iblees;,3:06.892
,أَبَى أَن يَكُونَ مَعَ السَّجِدِينَ,he refused to be with those who prostrated.,3:09.320
15:32,قَالَ يَإِبْلِيسُ,"[Allah] said, ""O Iblees,",3:14.836
,مَا لَكَ أَلَّا تَكُونَ مَعَ السَّجِدِينَ,"what is [the matter] with you that you are not with those who prostrate?""",3:17.253
15:33,قَالَ لَمْ أَكُن لِّأَسْجُدَ لِبَشَرٍ,"He said, ""Never would I prostrate to a human",3:23.240
,خَلَقْتَهُ مِن صَلْصَلٍ مِّنْ حَمَإٍ مَّسْنُونٍ,"whom You created out of clay from an altered black mud.""",3:26.826
15:34,قَالَ فَاخْرُجْ مِنْهَا,"[Allah] said, ""Then depart from it,",3:33.943
,فَإِنَّكَ رَجِيمٌ,"for indeed, you are expelled.",3:36.360
15:35,وَإِنَّ عَلَيْكَ اللَّعْنَةَ إِلَى يَوْمِ الدِّينِ,"And indeed, upon you is the curse until the Day of Recompense.""",3:41.836
,,,3:48.428
