verse,ar,en,timestamps
37:149,فَاسْتَفْتِهِمْ,"So inquire of them, [O Muhammad],",1:06.557
,أَلِرَبِّكَ الْبَنَاتُ وَلَهُمُ الْبَنُونَ,"""Does your Lord have daughters while they have sons?",1:07.866
37:150,أَمْ خَلَقْنَا الْمَلَئِكَةَ إِنَثًا وَهُمْ شَهِدُونَ,"Or did We create the angels as females while they were witnesses?""",1:13.644
37:151,أَلَا إِنَّهُم مِّنْ إِفْكِهِمْ,"Unquestionably, it is out of their [invented] falsehood",1:20.544
,لَيَقُولُونَ,"that they say,",1:23.013
,لَيَقُولُونَ,"that they say,",1:26.040
37:152,وَلَدَ اللَّهُ,"""Allah has begotten,""",1:27.402
,وَإِنَّهُمْ لَكَذِبُونَ,"and indeed, they are liars.",1:29.733
37:153,أَصْطَفَى الْبَنَاتِ عَلَى الْبَنِينَ,Has He chosen daughters over sons?,1:34.370
37:154,مَا لَكُمْ,What is [wrong] with you?,1:38.763
,كَيْفَ تَحْكُمُونَ,How do you make judgement?,1:39.786
37:155,أَفَلَا تَذَكَّرُونَ,Then will you not be reminded?,1:42.455
37:156,أَمْ لَكُمْ سُلْطَنٌ مُّبِينٌ,Or do you have a clear authority?,1:46.652
37:157,فَأْتُوا بِكِتَبِكُمْ,"Then produce your scripture,",1:51.324
,إِن كُنتُمْ صَدِقِينَ,if you should be truthful.,1:53.026
37:158,وَجَعَلُوا بَيْنَهُ وَبَيْنَ الْجِنَّةِ نَسَبًا,"And they have made [i.e., claimed] between Him and the jinn a lineage,",1:56.914
,وَلَقَدْ عَلِمَتِ الْجِنَّةُ,but the jinn have already known,2:00.920
,إِنَّهُمْ لَمُحْضَرُونَ,that they [who made such claims] will be brought [to punishment].,2:03.133
37:159,سُبْحَنَ اللَّهِ عَمَّا يَصِفُونَ,"Exalted is Allah above what they describe,",2:06.283
37:160,إِلَّا عِبَادَ اللَّهِ الْمُخْلَصِينَ,Except the chosen servants of Allah [who do not share in that sin].,2:11.969
37:161,فَإِنَّكُمْ وَمَا تَعْبُدُونَ,"So indeed, you [disbelievers] and whatever you worship,",2:16.266
37:162,مَا أَنتُمْ عَلَيْهِ بِفَتِنِينَ,You cannot tempt [anyone] away from Him,2:21.579
37:163,إِلَّا مَنْ هُوَ صَالِ الْجَحِيمِ,Except he who is to [enter and] burn in the Hellfire.,2:26.782
,,,2:31.169
