verse,ar,en,timestamps
82:9,كَلَّا بَلْ تُكَذِّبُونَ بِالدِّينِ,No! But you deny the Recompense.,0:39.478
82:10,وَإِنَّ عَلَيْكُمْ لَحَفِظِينَ,"And indeed, [appointed] over you are keepers,",0:44.120
82:11,كِرَامًا كَتِبِينَ,Noble and recording;,0:48.946
82:12,يَعْلَمُونَ مَا تَفْعَلُونَ,They know whatever you do.,0:52.586
,يَعْلَمُونَ مَا تَفْعَلُونَ,They know whatever you do.,0:56.426
82:13,إِنَّ الْأَبْرَارَ لَفِى نَعِيمٍ,"Indeed, the righteous will be in pleasure,",1:02.023
82:14,وَإِنَّ الْفُجَّارَ لَفِى جَحِيمٍ,"And indeed, the wicked will be in Hellfire.",1:07.333
82:15,يَصْلَوْنَهَا يَوْمَ الدِّينِ,"They will [enter to] burn therein on the Day of Recompense,",1:13.275
82:16,وَمَا هُمْ عَنْهَا بِغَائِبِينَ,And never therefrom will they be absent.,1:17.837
82:17,وَمَا أَدْرَىكَ مَا يَوْمُ الدِّينِ,And what can make you know what is the Day of Recompense?,1:25.186
82:18,ثُمَّ مَا أَدْرَىكَ مَا يَوْمُ الدِّينِ,"Then, what can make you know what is the Day of Recompense?",1:31.103
82:19,يَوْمَ لَا تَمْلِكُ نَفْسٌ لِّنَفْسٍ شَيْـًٔا ,It is the Day when a soul will not possess for another soul [power to do] a thing;,1:37.581
,وَالْأَمْرُ يَوْمَئِذٍ لِّلَّهِ,"and the command, that Day, is [entirely] with Allah.",1:43.293
,,,1:47.934
