verse,ar,en,timestamps
55:48,ذَوَاتَآ أَفْنَانٍ,Having [spreading] branches.,0:32.363
55:49,فَبِأَىِّ ءَالَآءِ رَبِّكُمَا تُكَذِّبَانِ,So which of the favors of your Lord would you deny?,0:36.760
55:50,فِيهِمَا عَيْنَانِ تَجْرِيَانِ,"In both of them are two springs, flowing.",0:43.252
55:51,فَبِأَىِّ ءَالَآءِ رَبِّكُمَا تُكَذِّبَانِ,So which of the favors of your Lord would you deny?,0:46.467
55:52,فِيهِمَا مِن كُلِّ فَـٰكِهَةٍ زَوْجَانِ,"In both of them are of every fruit, two kinds.",0:53.633
55:53,فَبِأَىِّ ءَالَآءِ رَبِّكُمَا تُكَذِّبَانِ,So which of the favors of your Lord would you deny?,0:59.692
55:54,مُتَّكِـِٔينَ عَلَىٰ فُرُشٍۭ بَطَآئِنُهَا مِنْ إِسْتَبْرَقٍ ۚ,"[They are] reclining on beds whose linings are of silk brocade,",1:06.854
,وَجَنَى ٱلْجَنَّتَيْنِ دَانٍ,and the fruit of the two gardens is hanging low.,1:14.293
55:55,فَبِأَىِّ ءَالَآءِ رَبِّكُمَا تُكَذِّبَانِ,So which of the favors of your Lord would you deny?,1:18.189
,,,1:24.133
