verse,ar,en,timestamps
,وَالَّذِينَ لَا يَشْهَدُونَ الزُّورَ,"And [they are] those who do not testify to falsehood,",0:00.000
,وَإِذَا مَرُّوا بِاللَّغْوِ مَرُّوا كِرَامًا,"and when they pass near ill speech, they pass by with dignity.",0:02.959
,وَالَّذِينَ إِذَا ذُكِّرُوا بَِٔايَتِ رَبِّهِمْ,"And those who, when reminded of the verses of their Lord,",0:08.256
,لَمْ يَخِرُّوا عَلَيْهَا صُمًّا,do not fall upon them deaf,0:12.820
,لَمْ يَخِرُّوا عَلَيْهَا صُمًّا وَعُمْيَانًا,do not fall upon them deaf and blind.,0:16.683
,وَالَّذِينَ يَقُولُونَ رَبَّنَا هَبْ لَنَا مِنْ أَزْوَجِنَا,"And those who say, ""Our Lord, grant us from among our wives",0:22.257
,وَذُرِّيَّتِنَا قُرَّةَ أَعْيُنٍ,and offspring comfort to our eyes,0:27.483
,وَاجْعَلْنَا,and make us,0:30.856
,وَاجْعَلْنَا لِلْمُتَّقِينَ إِمَامًا,"and make us a leader [i.e., example] for the righteous.""",0:32.533
,أُولَئِكَ يُجْزَوْنَ الْغُرْفَةَ بِمَا صَبَرُوا,"Those will be awarded the Chamber for what they patiently endured,",0:36.950
,وَيُلَقَّوْنَ فِيهَا تَحِيَّةً وَسَلَمًا,and they will be received therein with greetings and [words of] peace,0:43.830
,,,0:48.987
