Name	Start	Duration	Time Format	Type	Description
Marker 05	0:01.367	0:00.000	decimal	Cue	
Marker 03	0:07.218	0:00.000	decimal	Cue	
Marker 04	0:11.434	0:00.000	decimal	Cue	
Marker 06	0:16.109	0:00.000	decimal	Cue	
Marker 08	0:26.274	0:00.000	decimal	Cue	
Marker 09	0:32.577	0:00.000	decimal	Cue	
Marker 11	0:38.481	0:00.000	decimal	Cue	
Marker 18	0:40.642	0:00.000	decimal	Cue	
Marker 12	0:42.564	0:00.000	decimal	Cue	
Marker 19	0:44.725	0:00.000	decimal	Cue	
Marker 14	0:48.394	0:00.000	decimal	Cue	
Marker 15	0:52.762	0:00.000	decimal	Cue	
Marker 16	0:57.090	0:00.000	decimal	Cue	
Marker 17	1:00.151	0:00.000	decimal	Cue	
