verse,ar,en,timestamps
,يَعِبَادِىَ الَّذِينَ ءَامَنُوا,"O My servants who have believed,",0:01.367
,إِنَّ أَرْضِى وَسِعَةٌ,"indeed My earth is spacious,",0:07.218
,فَإِيَّىَ فَاعْبُدُونِ,so worship only Me.,0:11.434
,كُلُّ نَفْسٍ ذَائِقَةُ الْمَوْتِ,Every soul will taste death.,0:16.109
,كُلُّ نَفْسٍ ذَائِقَةُ الْمَوْتِ,Every soul will taste death.,0:26.274
,ثُمَّ إِلَيْنَا تُرْجَعُونَ,Then to Us will you be returned.,0:32.577
,وَالَّذِينَ ءَامَنُوا,And those who have believed,0:38.481
,وَعَمِلُوا الصَّلِحَتِ,and done righteous deeds,0:40.642
,لَنُبَوِّئَنَّهُم,We will surely assign to them,0:42.564
,مِّنَ الْجَنَّةِ غُرَفًا,of Paradise [elevated] chambers,0:44.725
,غُرَفًا تَجْرِى مِن تَحْتِهَا الْأَنْهَرُ,"chambers beneath which rivers flow,",0:48.394
,خَلِدِينَ فِيهَا,wherein they abide eternally.,0:52.762
,نِعْمَ أَجْرُ الْعَمِلِينَ,Excellent is the reward of the [righteous] workers,0:57.090
,,,1:00.151
