verse,ar,en,timestamps
29:56,يَعِبَادِىَ الَّذِينَ ءَامَنُوا,"O My servants who have believed,",0:01.207
,إِنَّ أَرْضِى وَسِعَةٌ,"indeed My earth is spacious,",0:07.160
,فَإِيَّىَ فَاعْبُدُونِ,so worship only Me.,0:11.400
29:57,كُلُّ نَفْسٍ ذَائِقَةُ الْمَوْتِ,Every soul will taste death.,0:16.047
,كُلُّ نَفْسٍ ذَائِقَةُ الْمَوْتِ,Every soul will taste death.,0:26.280
,ثُمَّ إِلَيْنَا تُرْجَعُونَ,Then to Us will you be returned.,0:32.546
29:58,وَالَّذِينَ ءَامَنُوا,And those who have believed,0:38.415
,وَعَمِلُوا الصَّلِحَتِ,and done righteous deeds,0:40.586
,لَنُبَوِّئَنَّهُم,We will surely assign to them,0:42.600
,مِّنَ الْجَنَّةِ غُرَفًا,of Paradise [elevated] chambers,0:44.720
,غُرَفًا تَجْرِى مِن تَحْتِهَا الْأَنْهَرُ,"chambers beneath which rivers flow,",0:48.280
,خَلِدِينَ فِيهَا,wherein they abide eternally.,0:52.720
,نِعْمَ أَجْرُ الْعَمِلِينَ,Excellent is the reward of the [righteous] workers,0:57.013
,,,1:00.151
