verse,ar,en,timestamps
2:153,يَأَيُّهَا الَّذِينَ ءَامَنُوا,"O you who have believed,",0:00.170
,اسْتَعِينُوا بِالصَّبْرِ وَالصَّلَوةِ,seek help through patience and prayer.,0:07.440
,إِنَّ اللَّهَ مَعَ الصَّبِرِينَ,"Indeed, Allah is with the patient.",0:14.320
2:154,وَلَا تَقُولُوا لِمَن يُقْتَلُ فِى سَبِيلِ اللَّهِ,"And do not say about those who are killed in the way of Allah,",0:23.680
,أَمْوَتٌ,"""They are dead.""",0:30.306
,بَلْ أَحْيَاءٌ,"Rather, they are alive,",0:36.093
,وَلَكِن لَّا تَشْعُرُونَ,but you perceive [it] not.,0:42.120
2:155,وَلَنَبْلُوَنَّكُم بِشَىْءٍ مِّنَ,And We will surely test you with something of,0:49.413
,الْخَوْفِ وَالْجُوعِ,fear and hunger,0:54.466
,وَنَقْصٍ مِّنَ الْأَمْوَلِ وَالْأَنفُسِ وَالثَّمَرَتِ,"and a loss of wealth and lives and fruits,",0:56.120
,وَبَشِّرِ الصَّبِرِينَ,"but give good tidings to the patient,",1:04.746
2:156,الَّذِينَ إِذَا أَصَبَتْهُم مُّصِيبَةٌ,"Who, when disaster strikes them,",1:11.939
,قَالُوا,"say,",1:21.093
,قَالُوا,"say,",1:23.693
,إِنَّا لِلَّهِ وَإِنَّا إِلَيْهِ رَجِعُونَ,"""Indeed we belong to Allah, and indeed to Him we will return.""",1:27.040
2:157,أُولَئِكَ عَلَيْهِمْ صَلَوَتٌ مِّن رَّبِّهِمْ وَرَحْمَةٌ,Those are the ones upon whom are blessings from their Lord and mercy.,1:37.840
,وَأُولَئِكَ هُمُ الْمُهْتَدُونَ,And it is those who are the [rightly] guided.,1:48.586
,,,2:00.334
