verse,ar,en,timestamps
25:72,وَالَّذِينَ لَا يَشْهَدُونَ الزُّورَ,"And [they are] those who do not testify to falsehood,",0:00.034
,وَإِذَا مَرُّوا بِاللَّغْوِ,"and when they pass near ill speech,",0:02.933
,مَرُّوا كِرَامًا,they pass by with dignity.,0:05.386
25:73,وَالَّذِينَ,"And those who,",0:08.268
,إِذَا ذُكِّرُوا بَِٔايَتِ رَبِّهِمْ,"when reminded of the verses of their Lord,",0:09.266
,لَمْ يَخِرُّوا عَلَيْهَا صُمًّا,do not fall upon them deaf,0:12.760
,لَمْ يَخِرُّوا عَلَيْهَا صُمًّا وَعُمْيَانًا,do not fall upon them deaf and blind.,0:16.680
25:74,وَالَّذِينَ يَقُولُونَ,"And those who say,",0:22.235
,رَبَّنَا هَبْ لَنَا مِنْ أَزْوَجِنَا,"""Our Lord, grant us from among our wives",0:24.266
,وَذُرِّيَّتِنَا قُرَّةَ أَعْيُنٍ,and offspring comfort to our eyes,0:27.506
,وَاجْعَلْنَا,and make us,0:30.853
,وَاجْعَلْنَا لِلْمُتَّقِينَ إِمَامًا,"and make us a leader [i.e., example] for the righteous.""",0:32.533
25:75,أُولَئِكَ يُجْزَوْنَ الْغُرْفَةَ بِمَا صَبَرُوا,"Those will be awarded the Chamber for what they patiently endured,",0:36.950
,وَيُلَقَّوْنَ فِيهَا تَحِيَّةً وَسَلَمًا,and they will be received therein with greetings and [words of] peace,0:43.826
,,,0:48.987
