verse,ar,en,timestamps
,وَسِيقَ الَّذِينَ كَفَرُوا إِلَى جَهَنَّمَ زُمَرًا,And those who disbelieved will be driven to Hell in groups,1:38.000
,حَتَّى إِذَا جَاءُوهَا فُتِحَتْ أَبْوَبُهَا,"until, when they reach it, its gates are opened",1:45.426
,وَقَالَ لَهُمْ خَزَنَتُهَا,"and its keepers will say,",1:52.840
,أَلَمْ يَأْتِكُمْ رُسُلٌ مِّنكُمْ,"""Did there not come to you messengers from yourselves,",1:56.453
,يَتْلُونَ عَلَيْكُمْ,reciting to you,1:59.693
,يَتْلُونَ عَلَيْكُمْ ءَايَتِ رَبِّكُمْ,reciting to you the verses of your Lord,2:02.000
,وَيُنذِرُونَكُمْ لِقَاءَ يَوْمِكُمْ هَذَا,"and warning you of the meeting of this Day of yours?""",2:06.253
,قَالُوا بَلَى,"They will say, ""Yes,",2:13.320
,وَلَكِنْ حَقَّتْ كَلِمَةُ الْعَذَابِ,"but the word [i.e., decree] of punishment has come into effect",2:14.653
,عَلَى الْكَفِرِينَ,"upon the disbelievers.""",2:18.000
,قِيلَ ادْخُلُوا أَبْوَبَ جَهَنَّمَ,"[To them] it will be said, ""Enter the gates of Hell",2:21.242
,قِيلَ ادْخُلُوا أَبْوَبَ جَهَنَّمَ,"[To them] it will be said, ""Enter the gates of Hell",2:27.413
,خَلِدِينَ فِيهَا,"to abide eternally therein,",2:32.506
,فَبِئْسَ مَثْوَى الْمُتَكَبِّرِينَ,"and wretched is the residence of the arrogant.""",2:35.493
,وَسِيقَ الَّذِينَ اتَّقَوْا رَبَّهُمْ إِلَى الْجَنَّةِ زُمَرًا,But those who feared their Lord will be driven to Paradise in groups,2:41.317
,حَتَّى إِذَا جَاءُوهَا وَفُتِحَتْ أَبْوَبُهَا,"until, when they reach it while its gates have been opened",2:48.480
,وَقَالَ لَهُمْ خَزَنَتُهَا سَلَمٌ عَلَيْكُمْ طِبْتُمْ,"and its keepers say, ""Peace be upon you; you have become pure;",2:56.066
,فَادْخُلُوهَا خَلِدِينَ,"so enter it to abide eternally therein,"" [they will enter].",3:01.453
,وَقَالُوا الْحَمْدُ لِلَّهِ الَّذِى صَدَقَنَا وَعْدَهُ,"And they will say, ""Praise to Allah, who has fulfilled for us His promise",3:05.748
,وَأَوْرَثَنَا الْأَرْضَ,and made us inherit the earth,3:11.106
,نَتَبَوَّأُ مِنَ الْجَنَّةِ حَيْثُ نَشَاءُ,[so] we may settle in Paradise wherever we will.,3:12.986
,فَنِعْمَ أَجْرُ الْعَمِلِينَ,"And excellent is the reward of [righteous] workers.""",3:20.280
,وَتَرَى الْمَلَئِكَةَ حَافِّينَ مِنْ حَوْلِ الْعَرْشِ,"And you will see the angels surrounding the Throne,",3:25.118
,يُسَبِّحُونَ بِحَمْدِ رَبِّهِمْ,exalting [Allah] with praise of their Lord.,3:32.546
,وَقُضِىَ بَيْنَهُم بِالْحَقِّ,"And it will be judged between them in truth,",3:35.946
,وَقِيلَ الْحَمْدُ لِلَّهِ رَبِّ الْعَلَمِينَ,"and it will be said, ""[All] praise to Allah, Lord of the worlds.""",3:40.186
,,,3:47.872
