Name	Start	Duration	Time Format	Type	Description
Marker 01	0:11.473	0:00.000	decimal	Cue	
Marker 02	0:19.000	0:00.000	decimal	Cue	
Marker 03	0:24.806	0:00.000	decimal	Cue	
CD Track 16	0:28.613	0:00.000	decimal	Track	
Marker 05	0:34.100	0:00.000	decimal	Cue	
Marker 06	0:41.574	0:00.000	decimal	Cue	
CD Track 07	0:44.746	0:00.000	decimal	Track	
Marker 07	0:48.970	0:00.000	decimal	Cue	
CD Track 08	0:53.186	0:00.000	decimal	Track	
Marker 08	0:56.531	0:00.000	decimal	Cue	
CD Track 09	1:01.226	0:00.000	decimal	Track	
CD Track 01	1:05.573	0:00.000	decimal	Track	
CD Track 10	1:08.506	0:00.000	decimal	Track	
Marker 09	1:14.839	0:00.000	decimal	Cue	
CD Track 11	1:17.253	0:00.000	decimal	Track	
Marker 10	1:23.606	0:00.000	decimal	Cue	
CD Track 13	1:25.933	0:00.000	decimal	Track	
CD Track 02	1:29.053	0:00.000	decimal	Track	
CD Track 14	1:30.906	0:00.000	decimal	Track	
Marker 11	1:35.494	0:00.000	decimal	Cue	
Marker 12	1:43.252	0:00.000	decimal	Cue	
CD Track 03	1:46.026	0:00.000	decimal	Track	
Marker 14	1:49.623	0:00.000	decimal	Cue	
CD Track 04	1:53.640	0:00.000	decimal	Track	
CD Track 05	1:56.226	0:00.000	decimal	Track	
CD Track 06	1:58.200	0:00.000	decimal	Track	
Marker 15	2:03.180	0:00.000	decimal	Cue	
