Name	Start	Duration	Time Format	Type	Description
Marker 05	0:01.207	0:00.000	decimal	Cue	
Marker 03	0:07.160	0:00.000	decimal	Track	
Marker 04	0:11.400	0:00.000	decimal	Track	
Marker 06	0:16.047	0:00.000	decimal	Cue	
Marker 08	0:26.280	0:00.000	decimal	Track	
Marker 09	0:32.546	0:00.000	decimal	Track	
Marker 11	0:38.415	0:00.000	decimal	Cue	
Marker 18	0:40.586	0:00.000	decimal	Track	
Marker 12	0:42.600	0:00.000	decimal	Track	
Marker 19	0:44.720	0:00.000	decimal	Track	
Marker 14	0:48.280	0:00.000	decimal	Track	
Marker 15	0:52.720	0:00.000	decimal	Track	
Marker 16	0:57.013	0:00.000	decimal	Track	
Marker 17	1:00.151	0:00.000	decimal	Cue	
