Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.095	0:00.000	decimal	Cue	
CD Track 26	0:01.813	0:00.000	decimal	Track	
CD Track 01	0:05.413	0:00.000	decimal	Track	
CD Track 29	0:07.706	0:00.000	decimal	Track	
CD Track 02	0:10.613	0:00.000	decimal	Track	
CD Track 03	0:13.866	0:00.000	decimal	Track	
CD Track 31	0:17.480	0:00.000	decimal	Track	
CD Track 04	0:19.413	0:00.000	decimal	Track	
CD Track 05	0:23.693	0:00.000	decimal	Track	
Marker 03	0:27.919	0:00.000	decimal	Cue	
CD Track 06	0:29.306	0:00.000	decimal	Track	
CD Track 32	0:33.026	0:00.000	decimal	Track	
CD Track 07	0:36.240	0:00.000	decimal	Track	
CD Track 08	0:39.333	0:00.000	decimal	Track	
CD Track 09	0:45.253	0:00.000	decimal	Track	
CD Track 10	0:48.973	0:00.000	decimal	Track	
CD Track 11	0:52.533	0:00.000	decimal	Track	
Marker 05	0:57.627	0:00.000	decimal	Cue	
CD Track 12	1:01.906	0:00.000	decimal	Track	
CD Track 14	1:04.200	0:00.000	decimal	Track	
CD Track 15	1:08.853	0:00.000	decimal	Track	
Marker 07	1:14.157	0:00.000	decimal	Cue	
CD Track 16	1:18.320	0:00.000	decimal	Track	
CD Track 18	1:19.946	0:00.000	decimal	Track	
CD Track 17	1:24.720	0:00.000	decimal	Track	
Marker 08	1:28.302	0:00.000	decimal	Cue	
CD Track 19	1:32.346	0:00.000	decimal	Track	
CD Track 20	1:36.546	0:00.000	decimal	Track	
CD Track 21	1:39.960	0:00.000	decimal	Track	
CD Track 22	1:43.733	0:00.000	decimal	Track	
CD Track 23	1:45.600	0:00.000	decimal	Track	
Marker 09	1:47.344	0:00.000	decimal	Cue	
