verse,ar,en,timestamps
2:113,وَقَالَتِ ٱلْيَهُودُ,"The Jews say,",0:00.095
,لَيْسَتِ ٱلنَّصَـٰرَىٰ عَلَىٰ شَىْءٍ,"""The Christians have nothing [true] to stand on,""",0:01.813
,وَقَالَتِ ٱلنَّصَـٰرَىٰ,"and the Christians say,",0:05.413
,لَيْسَتِ ٱلْيَهُودُ عَلَىٰ شَىْءٍ,"""The Jews have nothing to stand on,""",0:07.706
,وَهُمْ يَتْلُونَ ٱلْكِتَـٰبَ ۗ,although they [both] recite the Scripture.,0:10.613
,كَذَٰلِكَ قَالَ ٱلَّذِينَ لَا يَعْلَمُونَ,"Thus do those who know not [i.e., the polytheists] speak",0:13.866
,مِثْلَ قَوْلِهِمْ ۚ,the same as their words.,0:17.480
,فَٱللَّهُ يَحْكُمُ بَيْنَهُمْ يَوْمَ ٱلْقِيَـٰمَةِ,But Allah will judge between them on the Day of Resurrection,0:19.413
,فِيمَا كَانُوا فِيهِ يَخْتَلِفُونَ,concerning that over which they used to differ.,0:23.693
2:114,وَمَنْ أَظْلَمُ,And who are more unjust,0:27.919
,مِمَّن مَّنَعَ مَسَـٰجِدَ ٱللَّهِ,than those who prevent the name of Allah,0:29.306
,أَن يُذْكَرَ فِيهَا ٱسْمُهُۥ,"from being mentioned [i.e., praised] in His mosques",0:33.026
,وَسَعَىٰ فِى خَرَابِهَآ ۚ,and strive toward their destruction.,0:36.240
,أُولَـٰٓئِكَ مَا كَانَ لَهُمْ أَن يَدْخُلُوهَآ,It is not for them to enter them,0:39.333
,إِلَّا خَآئِفِينَ ۚ,except in fear.,0:45.253
,لَهُمْ فِى ٱلدُّنْيَا خِزْىٌ,"For them in this world is disgrace,",0:48.973
,وَلَهُمْ فِى ٱلْـَٔاخِرَةِ عَذَابٌ عَظِيمٌ,and they will have in the Hereafter a great punishment.,0:52.533
2:115,وَلِلَّهِ ٱلْمَشْرِقُ وَٱلْمَغْرِبُ ۚ,And to Allah belongs the east and the west.,0:57.627
,فَأَيْنَمَا تُوَلُّوا,"So wherever you [might] turn,",1:01.906
,فَثَمَّ وَجْهُ ٱللَّهِ ۚ,there is the Face of Allah.,1:04.200
,إِنَّ ٱللَّهَ وَٰسِعٌ عَلِيمٌ,"Indeed, Allah is all-Encompassing and Knowing.",1:08.853
2:116,وَقَالُوا ٱتَّخَذَ ٱللَّهُ وَلَدًا ۗ,"They say, ""Allah has taken a son.""",1:14.157
,سُبْحَـٰنَهُۥ ۖ,Exalted is He!,1:18.320
,بَل لَّهُۥ مَا فِى ٱلسَّمَـٰوَٰتِ وَٱلْأَرْضِ ۖ,"Rather, to Him belongs whatever is in the heavens and the earth.",1:19.946
,كُلٌّ لَّهُۥ قَـٰنِتُونَ,"All are devoutly obedient to Him,",1:24.720
2:117,بَدِيعُ ٱلسَّمَـٰوَٰتِ وَٱلْأَرْضِ ۖ,Originator of the heavens and the earth.,1:28.302
,وَإِذَا قَضَىٰٓ أَمْرًا,"When He decrees a matter,",1:32.346
,فَإِنَّمَا يَقُولُ,He only says,1:36.546
,فَإِنَّمَا يَقُولُ لَهُۥ,"He only says to it,",1:39.960
,كُن,"""Be,""",1:43.733
,فَيَكُونُ,and it is.,1:45.600
,,,1:47.344
