Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.000	0:00.000	decimal	Cue	
CD Track 01	0:04.613	0:00.000	decimal	Track	
Marker 03	0:09.496	0:00.000	decimal	Cue	
CD Track 02	0:12.586	0:00.000	decimal	Track	
Marker 04	0:16.615	0:00.000	decimal	Cue	
CD Track 03	0:20.746	0:00.000	decimal	Track	
CD Track 01	0:23.653	0:00.000	decimal	Track	
Marker 05	0:26.421	0:00.000	decimal	Cue	
CD Track 04	0:30.453	0:00.000	decimal	Track	
Marker 06	0:34.631	0:00.000	decimal	Cue	
CD Track 05	0:38.440	0:00.000	decimal	Track	
CD Track 06	0:44.200	0:00.000	decimal	Track	
Marker 07	0:48.970	0:00.000	decimal	Cue	
CD Track 07	0:51.706	0:00.000	decimal	Track	
Marker 08	0:55.053	0:00.000	decimal	Cue	
CD Track 08	0:58.146	0:00.000	decimal	Track	
Marker 09	1:02.883	0:00.000	decimal	Cue	
Marker 10	1:08.300	0:00.000	decimal	Cue	
