verse,ar,en,timestamps
75:20,كَلَّا,No!,0:01.296
,بَلْ تُحِبُّونَ ٱلْعَاجِلَةَ,"But you [i.e., mankind] love the immediate",0:02.720
75:21,وَتَذَرُونَ ٱلْـَٔاخِرَةَ,"And leave [i.e., neglect] the Hereafter.",0:06.413
,بَلْ تُحِبُّونَ ٱلْعَاجِلَةَ,"But you [i.e., mankind] love the immediate",0:10.253
,وَتَذَرُونَ ٱلْـَٔاخِرَةَ,"And leave [i.e., neglect] the Hereafter.",0:13.426
75:22,وُجُوهٌ يَوْمَئِذٍ نَّاضِرَةٌ,"[Some] faces, that Day, will be radiant,",0:17.121
75:23,إِلَىٰ رَبِّهَا نَاظِرَةٌ,Looking at their Lord.,0:22.552
,وُجُوهٌ يَوْمَئِذٍ نَّاضِرَةٌ,"[Some] faces, that Day, will be radiant,","0:27.040,0:25.813"
,إِلَىٰ رَبِّهَا نَاظِرَةٌ,Looking at their Lord.,0:32.120
75:24,وَوُجُوهٌ يَوْمَئِذٍۭ بَاسِرَةٌ,"And [some] faces, that Day, will be contorted,",0:35.921
75:25,تَظُنُّ أَن يُفْعَلَ بِهَا فَاقِرَةٌ,Expecting that there will be done to them [something] backbreaking.,0:41.463
75:26,كَلَّآ,No!,0:46.462
,إِذَا بَلَغَتِ ٱلتَّرَاقِىَ,"When it [i.e., the soul] has reached the collar bones",0:48.013
75:27,وَقِيلَ مَنْ ۜ,"And it is said, ""Who",0:51.816
,رَاقٍ,"will cure [him]?""",0:53.560
,,,0:55.078
