Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.000	0:00.000	decimal	Cue	
Marker 03	0:04.666	0:00.000	decimal	Cue	
Marker 04	0:09.214	0:00.000	decimal	Cue	
Marker 05	0:15.656	0:00.000	decimal	Cue	
Marker 06	0:22.595	0:00.000	decimal	Cue	
Marker 07	0:28.164	0:00.000	decimal	Cue	
Marker 08	0:32.713	0:00.000	decimal	Cue	
Marker 09	0:37.654	0:00.000	decimal	Cue	
Marker 10	0:42.635	0:00.000	decimal	Cue	
Marker 11	0:48.123	0:00.000	decimal	Cue	
Marker 02	0:52.655	0:00.000	decimal	Cue	
