Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.939	0:00.000	decimal	Cue	
Marker 02	0:06.266	0:00.000	decimal	Cue	
Marker 03	0:11.282	0:00.000	decimal	Cue	
Marker 04	0:18.253	0:00.000	decimal	Cue	
Marker 05	0:25.934	0:00.000	decimal	Cue	
Marker 06	0:31.582	0:00.000	decimal	Cue	
Marker 07	0:36.635	0:00.000	decimal	Cue	
Marker 08	0:41.707	0:00.000	decimal	Cue	
Marker 09	0:46.275	0:00.000	decimal	Cue	
Marker 10	0:51.903	0:00.000	decimal	Cue	
Marker 11	0:56.655	0:00.000	decimal	Cue	
