verse,ar,en,timestamps
26:78,ٱلَّذِى خَلَقَنِى,"Who created me,",0:00.415
,فَهُوَ يَهْدِينِ,and He [it is who] guides me.,0:02.666
26:79,وَٱلَّذِى هُوَ يُطْعِمُنِى,And it is He who feeds me,0:07.097
,وَيَسْقِينِ,and gives me drink.,0:10.160
26:80,وَإِذَا مَرِضْتُ,"And when I am ill,",0:13.560
,فَهُوَ يَشْفِينِ,it is He who cures me,0:15.493
26:81,وَٱلَّذِى يُمِيتُنِى,And who will cause me to die,0:19.623
,ثُمَّ يُحْيِينِ,and then bring me to life,0:21.880
26:82,وَٱلَّذِىٓ أَطْمَعُ أَن يَغْفِرَ لِى خَطِيٓـَٔتِى,And who I aspire that He will forgive me my sin,"0:28.330,0:26.767"
,يَوْمَ ٱلدِّينِ,"on the Day of Recompense.""",0:35.933
26:83,رَبِّ هَبْ لِى حُكْمًا,"[And he said], ""My Lord, grant me authority",0:39.181
,وَأَلْحِقْنِى بِٱلصَّـٰلِحِينَ,and join me with the righteous.,0:42.426
,,,0:46.685
