verse,ar,en,timestamps
52:35,أَمْ خُلِقُوا مِنْ غَيْرِ شَىْءٍ,"Or were they created by nothing,",0:00.278
,أَمْ هُمُ ٱلْخَـٰلِقُونَ,or were they the creators [of themselves]?,0:04.306
52:36,أَمْ خَلَقُوا ٱلسَّمَـٰوَٰتِ وَٱلْأَرْضَ ۚ,Or did they create the heavens and the earth?,0:08.182
,بَل لَّا يُوقِنُونَ,"Rather, they are not certain.",0:12.333
52:37,أَمْ عِندَهُمْ خَزَآئِنُ رَبِّكَ,Or have they the depositories [containing the provision] of your Lord?,0:16.532
,أَمْ هُمُ ٱلْمُصَيْطِرُونَ,Or are they the controllers [of them]?,0:22.266
52:38,أَمْ لَهُمْ سُلَّمٌ يَسْتَمِعُونَ فِيهِ ۖ,Or have they a stairway [into the heaven] upon which they listen?,0:26.263
,فَلْيَأْتِ مُسْتَمِعُهُم بِسُلْطَـٰنٍ مُّبِينٍ,"Then let their listener produce a clear authority [i.e., proof].",0:32.920
52:39,أَمْ لَهُ ٱلْبَنَـٰتُ وَلَكُمُ ٱلْبَنُونَ,Or has He daughters while you have sons?,0:40.802
52:40,أَمْ تَسْـَٔلُهُمْ أَجْرًا,"Or do you, [O Muhammad], ask of them a payment,",0:46.300
,فَهُم مِّن مَّغْرَمٍ مُّثْقَلُونَ,so they are by debt burdened down?,0:50.066
52:41,أَمْ عِندَهُمُ ٱلْغَيْبُ,"Or have they [knowledge of] the unseen,",0:56.454
,فَهُمْ يَكْتُبُونَ,so they write [it] down?,0:59.893
52:42,أَمْ يُرِيدُونَ كَيْدًا ۖ,Or do they intend a plan?,1:03.187
,فَٱلَّذِينَ كَفَرُوا,But those who disbelieve -,1:07.546
,هُمُ ٱلْمَكِيدُونَ,they are the object of a plan.,1:10.066
52:43,أَمْ لَهُمْ إِلَـٰهٌ غَيْرُ ٱللَّهِ ۚ,Or have they a deity other than Allah?,1:13.255
,سُبْحَـٰنَ ٱللَّهِ عَمَّا يُشْرِكُونَ,Exalted is Allah above whatever they associate with Him.,1:19.213
,,,1:27.171
