Name	Start	Duration	Time Format	Type	Description
Marker 01	9:45.373	0:00.000	decimal	Cue	
Marker 02	9:51.243	0:00.000	decimal	Cue	
Marker 05	9:59.000	0:00.000	decimal	Cue	
Marker 03	10:02.838	0:00.000	decimal	Cue	
Marker 07	10:07.400	0:00.000	decimal	Cue	
Marker 06	10:12.871	0:00.000	decimal	Cue	
Marker 08	10:19.234	0:00.000	decimal	Cue	
Marker 09	10:24.537	0:00.000	decimal	Cue	
Marker 11	10:29.062	0:00.000	decimal	Cue	
Marker 12	10:32.246	0:00.000	decimal	Cue	
Marker 10	10:36.056	0:00.000	decimal	Cue	
Marker 17	10:37.932	0:00.000	decimal	Cue	
Marker 13	10:43.010	0:00.000	decimal	Cue	
Marker 15	10:46.625	0:00.000	decimal	Cue	
Marker 16	10:50.756	0:00.000	decimal	Cue	
Marker 14	10:56.849	0:00.000	decimal	Cue	
