verse,ar,en,timestamps
,مُّحَمَّدٌ رَّسُولُ اللَّهِ,Muhammad is the Messenger of Allah;,9:45.373
,وَالَّذِينَ مَعَهُ أَشِدَّاءُ عَلَى الْكُفَّارِ,"and those with him are forceful against the disbelievers,",9:51.243
,رُحَمَاءُ بَيْنَهُمْ,merciful among themselves.,9:59.000
,تَرَىهُمْ رُكَّعًا سُجَّدًا,"You see them bowing and prostrating [in prayer],",10:02.838
,يَبْتَغُونَ فَضْلًا مِّنَ اللَّهِ وَرِضْوَنًا,seeking bounty from Allah and [His] pleasure.,10:07.400
,سِيمَاهُمْ فِى وُجُوهِهِم مِّنْ أَثَرِ السُّجُودِ,"Their sign is in their faces from the effect of prostration [i.e., prayer].",10:12.871
,ذَلِكَ مَثَلُهُمْ فِى التَّوْرَىةِ,That is their description in the Torah.,10:19.234
,وَمَثَلُهُمْ فِى الْإِنجِيلِ كَزَرْعٍ,And their description in the Gospel is as a plant,10:24.537
,أَخْرَجَ شَطَْٔهُ فََٔازَرَهُ,which produces its offshoots and strengthens them,10:29.062
,فَاسْتَغْلَظَ فَاسْتَوَى عَلَى سُوقِهِ,"so they grow firm and stand upon their stalks,",10:32.246
,يُعْجِبُ الزُّرَّاعَ,delighting the sowers -,10:36.056
,لِيَغِيظَ بِهِمُ الْكُفَّارَ,"so that He [i.e., Allah] may enrage by them the disbelievers.",10:37.932
,وَعَدَ اللَّهُ الَّذِينَ ءَامَنُوا,Allah has promised those who believe,10:43.010
,وَعَمِلُوا الصَّلِحَتِ مِنْهُم,and do righteous deeds among them,10:46.625
,مَّغْفِرَةً وَأَجْرًا عَظِيمًا,forgiveness and a great reward.,10:50.756
,,,10:56.849
