Name	Start	Duration	Time Format	Type	Description
Marker 01	9:45.373	0:00.000	decimal	Cue	
Marker 02	9:51.240	0:00.000	decimal	Track	
Marker 05	9:59.000	0:00.000	decimal	Track	
Marker 03	10:02.840	0:00.000	decimal	Track	
Marker 07	10:07.400	0:00.000	decimal	Track	
Marker 06	10:12.866	0:00.000	decimal	Track	
Marker 08	10:19.240	0:00.000	decimal	Track	
Marker 09	10:24.533	0:00.000	decimal	Track	
Marker 11	10:29.066	0:00.000	decimal	Track	
Marker 12	10:32.240	0:00.000	decimal	Track	
Marker 10	10:36.053	0:00.000	decimal	Track	
Marker 17	10:37.933	0:00.000	decimal	Track	
Marker 13	10:43.013	0:00.000	decimal	Track	
Marker 15	10:46.626	0:00.000	decimal	Track	
Marker 16	10:50.760	0:00.000	decimal	Track	
Marker 14	10:56.849	0:00.000	decimal	Cue	
