verse,ar,en,timestamps
55:26,كُلُّ مَنْ عَلَيْهَا فَانٍ,"Everyone upon it [i.e., the earth] will perish,",2:23.668
55:27,وَيَبْقَى وَجْهُ رَبِّكَ,"And there will remain the Face of your Lord,",2:27.477
,ذُو الْجَلَلِ وَالْإِكْرَامِ,Owner of Majesty and Honor.,2:29.880
55:28,فَبِأَىِّ ءَالَاءِ رَبِّكُمَا تُكَذِّبَانِ,So which of the favors of your Lord would you deny?,2:33.781
55:29,يَسَْٔلُهُ مَن فِى السَّمَوَتِ وَالْأَرْضِ,Whoever is within the heavens and earth asks Him;,2:39.872
,كُلَّ يَوْمٍ هُوَ فِى شَأْنٍ,"every day He is in [i.e., bringing about] a matter.",2:44.413
55:30,فَبِأَىِّ ءَالَاءِ رَبِّكُمَا تُكَذِّبَانِ,So which of the favors of your Lord would you deny?,2:47.208
55:31,سَنَفْرُغُ لَكُمْ,"We will attend to you,",2:54.450
,أَيُّهَ الثَّقَلَانِ,O prominent beings.,2:56.000
55:32,فَبِأَىِّ ءَالَاءِ رَبِّكُمَا تُكَذِّبَانِ,So which of the favors of your Lord would you deny?,2:59.483
55:33,يَمَعْشَرَ الْجِنِّ وَالْإِنسِ,"O company of jinn and mankind,",3:05.377
,إِنِ اسْتَطَعْتُمْ أَن تَنفُذُوا,if you are able to pass beyond,3:09.413
,إِنِ اسْتَطَعْتُمْ أَن تَنفُذُوا,if you are able to pass beyond,3:14.546
,مِنْ أَقْطَارِ السَّمَوَتِ وَالْأَرْضِ,"the regions of the heavens and the earth,",3:18.466
,فَانفُذُوا,then pass.,3:22.226
,لَا تَنفُذُونَ,You will not pass,3:24.786
,إِلَّا بِسُلْطَنٍ,except by authority [from Allah].,3:26.813
55:34,فَبِأَىِّ ءَالَاءِ رَبِّكُمَا تُكَذِّبَانِ,So which of the favors of your Lord would you deny?,3:30.004
,,,3:37.445
