Name	Start	Duration	Time Format	Type	Description
Marker 01	12:58.476	0:00.000	decimal	Cue	
CD Track 03	12:59.586	0:00.000	decimal	Track	
CD Track 01	13:02.506	0:00.000	decimal	Track	
Marker 02	13:07.080	0:00.000	decimal	Cue	
CD Track 06	13:10.693	0:00.000	decimal	Track	
Marker 03	13:13.525	0:00.000	decimal	Cue	
CD Track 07	13:15.600	0:00.000	decimal	Track	
Marker 04	13:21.551	0:00.000	decimal	Cue	
CD Track 04	13:27.373	0:00.000	decimal	Track	
Marker 05	13:29.346	0:00.000	decimal	Track	
CD Track 08	13:33.720	0:00.000	decimal	Track	
CD Track 02	13:35.586	0:00.000	decimal	Track	
Marker 06	13:39.769	0:00.000	decimal	Cue	
CD Track 05	13:41.773	0:00.000	decimal	Track	
CD Track 09	13:45.120	0:00.000	decimal	Track	
Marker 07	13:49.449	0:00.000	decimal	Cue	
CD Track 10	13:54.493	0:00.000	decimal	Track	
Marker 08	13:56.594	0:00.000	decimal	Cue	
