Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.335	0:00.000	decimal	Cue	
Marker 02	0:06.213	0:00.000	decimal	Track	
Marker 05	0:13.973	0:00.000	decimal	Track	
Marker 03	0:17.746	0:00.000	decimal	Track	
Marker 07	0:22.306	0:00.000	decimal	Track	
Marker 06	0:27.826	0:00.000	decimal	Track	
Marker 08	0:34.133	0:00.000	decimal	Track	
Marker 09	0:39.506	0:00.000	decimal	Track	
Marker 11	0:44.013	0:00.000	decimal	Track	
Marker 12	0:47.200	0:00.000	decimal	Track	
Marker 10	0:51.000	0:00.000	decimal	Track	
Marker 17	0:52.906	0:00.000	decimal	Track	
Marker 13	0:57.986	0:00.000	decimal	Track	
Marker 15	1:01.600	0:00.000	decimal	Track	
Marker 16	1:05.733	0:00.000	decimal	Track	
Marker 14	1:11.811	0:00.000	decimal	Cue	
