Name	Start	Duration	Time Format	Type	Description
Marker 01	0:01.126	0:00.000	decimal	Cue	
CD Track 01	0:07.346	0:00.000	decimal	Track	
CD Track 12	0:09.346	0:00.000	decimal	Track	
CD Track 02	0:12.040	0:00.000	decimal	Track	
Marker 02	0:17.342	0:00.000	decimal	Cue	
CD Track 03	0:21.480	0:00.000	decimal	Track	
Marker 03	0:25.732	0:00.000	decimal	Cue	
CD Track 04	0:32.453	0:00.000	decimal	Track	
Marker 04	0:37.156	0:00.000	decimal	Cue	
CD Track 05	0:41.373	0:00.000	decimal	Track	
CD Track 06	0:46.026	0:00.000	decimal	Track	
CD Track 08	0:49.493	0:00.000	decimal	Track	
CD Track 07	0:55.546	0:00.000	decimal	Track	
CD Track 09	0:59.293	0:00.000	decimal	Track	
CD Track 10	1:02.653	0:00.000	decimal	Track	
CD Track 11	1:08.466	0:00.000	decimal	Track	
Marker 05	1:14.207	0:00.000	decimal	Cue	
