Name	Start	Duration	Time Format	Type	Description
Marker 02	0:00.138	0:00.000	decimal	Cue	
CD Track 01	0:02.133	0:00.000	decimal	Track	
CD Track 02	0:11.040	0:00.000	decimal	Track	
CD Track 04	0:18.826	0:00.000	decimal	Track	
CD Track 05	0:22.320	0:00.000	decimal	Track	
CD Track 07	0:26.213	0:00.000	decimal	Track	
CD Track 08	0:30.360	0:00.000	decimal	Track	
Marker 04	0:36.000	0:00.000	decimal	Cue	
CD Track 09	0:40.253	0:00.000	decimal	Track	
CD Track 10	0:43.773	0:00.000	decimal	Track	
CD Track 11	0:48.400	0:00.000	decimal	Track	
CD Track 13	0:52.320	0:00.000	decimal	Track	
Marker 05	0:57.918	0:00.000	decimal	Cue	
