verse,ar,en,timestamps
5:114,قَالَ عِيسَى ابْنُ مَرْيَمَ,"Said Jesus, the son of Mary,",0:00.138
,اللَّهُمَّ رَبَّنَا أَنزِلْ عَلَيْنَا مَائِدَةً,"""O Allah, our Lord, send down to us a table [spread with food]",0:02.133
,أَنزِلْ عَلَيْنَا مَائِدَةً مِّنَ السَّمَاءِ,send down to us a table [spread with food] from the heaven,0:11.040
,مَائِدَةً مِّنَ السَّمَاءِ,a table [spread with food] from the heaven,0:18.826
,تَكُونُ لَنَا عِيدًا لِّأَوَّلِنَا وَءَاخِرِنَا,to be for us a festival for the first of us and the last of us,0:22.320
,وَءَايَةً مِّنكَ وَارْزُقْنَا,"and a sign from You. And provide for us,",0:26.213
,وَارْزُقْنَا وَأَنتَ خَيْرُ الرَّزِقِينَ,"And provide for us, and You are the best of providers.""",0:30.360
5:115,قَالَ اللَّهُ إِنِّى مُنَزِّلُهَا عَلَيْكُمْ,"Allah said, ""Indeed, I will send it down to you,",0:36.000
,فَمَن يَكْفُرْ بَعْدُ مِنكُمْ,but whoever disbelieves afterwards from among you -,0:40.253
,فَإِنِّى أُعَذِّبُهُ عَذَابًا,then indeed will I punish him with a punishment,0:43.773
,فَإِنِّى أُعَذِّبُهُ عَذَابًا,then indeed will I punish him with a punishment,0:48.400
,لَّا أُعَذِّبُهُ أَحَدًا مِّنَ الْعَلَمِينَ,"by which I have not punished anyone among the worlds.""",0:52.320
,,,0:57.918
