Name	Start	Duration	Time Format	Type	Description
Marker 01	1:53.667	0:00.000	decimal	Cue	
CD Track 02	1:56.253	0:00.000	decimal	Track	
CD Track 01	2:02.373	0:00.000	decimal	Track	
CD Track 03	2:05.173	0:00.000	decimal	Track	
Marker 02	2:10.822	0:00.000	decimal	Cue	
Marker 03	2:19.752	0:00.000	decimal	Cue	
Marker 04	2:23.771	0:00.000	decimal	Cue	
Marker 05	2:27.040	0:00.000	decimal	Cue	
Marker 06	2:32.365	0:00.000	decimal	Cue	
CD Track 07	2:37.253	0:00.000	decimal	Track	
Marker 07	2:41.544	0:00.000	decimal	Cue	
CD Track 04	2:49.080	0:00.000	decimal	Track	
Marker 08	2:56.269	0:00.000	decimal	Cue	
Marker 09	3:02.763	0:00.000	decimal	Cue	
CD Track 05	3:05.346	0:00.000	decimal	Track	
Marker 10	3:11.914	0:00.000	decimal	Cue	
CD Track 06	3:18.960	0:00.000	decimal	Track	
Marker 11	3:26.637	0:00.000	decimal	Cue	
Marker 12	3:34.821	0:00.000	decimal	Cue	
