verse,ar,en,timestamps
83:18,كَلَّا,No!,1:53.667
,إِنَّ كِتَبَ الْأَبْرَارِ لَفِى عِلِّيِّينَ,"Indeed, the record of the righteous is in 'illiyyun.",1:56.253
,كَلَّا,No!,2:02.373
,إِنَّ كِتَبَ الْأَبْرَارِ لَفِى عِلِّيِّينَ,"Indeed, the record of the righteous is in 'illiyyun.",2:05.173
83:19,وَمَا أَدْرَىكَ مَا عِلِّيُّونَ,And what can make you know what is 'illiyyun?,2:10.822
83:20,كِتَبٌ مَّرْقُومٌ,It is [their destination recorded in] a register inscribed,2:19.752
83:21,يَشْهَدُهُ الْمُقَرَّبُونَ,Which is witnessed by those brought near [to Allah].,2:23.771
83:22,إِنَّ الْأَبْرَارَ لَفِى نَعِيمٍ,"Indeed, the righteous will be in pleasure",2:27.040
83:23,عَلَى الْأَرَائِكِ,"On adorned couches,",2:32.365
,يَنظُرُونَ,observing.,2:37.253
83:24,تَعْرِفُ فِى وُجُوهِهِمْ نَضْرَةَ النَّعِيمِ,You will recognize in their faces the radiance of pleasure.,2:41.544
,تَعْرِفُ فِى وُجُوهِهِمْ نَضْرَةَ النَّعِيمِ,You will recognize in their faces the radiance of pleasure.,2:49.080
83:25,يُسْقَوْنَ مِن رَّحِيقٍ مَّخْتُومٍ,They will be given to drink [pure] wine [which was] sealed.,2:56.269
83:26,خِتَمُهُ مِسْكٌ,The last of it is musk.,3:02.763
,وَفِى ذَلِكَ فَلْيَتَنَافَسِ الْمُتَنَفِسُونَ,So for this let the competitors compete.,3:05.346
83:27,وَمِزَاجُهُ مِن تَسْنِيمٍ,"And its mixture is of Tasneem,",3:11.914
,وَمِزَاجُهُ مِن تَسْنِيمٍ,"And its mixture is of Tasneem,",3:18.960
83:28,عَيْنًا يَشْرَبُ بِهَا الْمُقَرَّبُونَ,A spring from which those near [to Allah] drink.,3:26.637
,,,3:34.821
