Name	Start	Duration	Time Format	Type	Description
Marker 01	0:03.327	0:00.000	decimal	Cue	
CD Track 01	0:05.346	0:00.000	decimal	Track	
Marker 02	0:08.556	0:00.000	decimal	Cue	
CD Track 02	0:10.773	0:00.000	decimal	Track	
CD Track 03	0:12.706	0:00.000	decimal	Track	
Marker 03	0:14.935	0:00.000	decimal	Cue	
CD Track 04	0:21.106	0:00.000	decimal	Track	
Marker 04	0:24.749	0:00.000	decimal	Cue	
CD Track 05	0:31.600	0:00.000	decimal	Track	
Marker 05	0:33.768	0:00.000	decimal	Cue	
CD Track 06	0:36.773	0:00.000	decimal	Track	
Marker 06	0:39.599	0:00.000	decimal	Cue	
CD Track 07	0:41.506	0:00.000	decimal	Track	
Marker 07	0:46.376	0:00.000	decimal	Cue	
CD Track 08	0:48.880	0:00.000	decimal	Track	
CD Track 09	0:51.573	0:00.000	decimal	Track	
Marker 08	0:55.982	0:00.000	decimal	Cue	
CD Track 10	1:00.106	0:00.000	decimal	Track	
CD Track 21	1:02.213	0:00.000	decimal	Track	
Marker 09	1:04.710	0:00.000	decimal	Cue	
CD Track 11	1:08.173	0:00.000	decimal	Track	
CD Track 22	1:11.320	0:00.000	decimal	Track	
CD Track 12	1:12.920	0:00.000	decimal	Track	
Marker 10	1:14.171	0:00.000	decimal	Cue	
CD Track 13	1:17.293	0:00.000	decimal	Track	
Marker 11	1:22.430	0:00.000	decimal	Cue	
Marker 12	1:31.965	0:00.000	decimal	Cue	
CD Track 14	1:35.586	0:00.000	decimal	Track	
Marker 13	1:42.223	0:00.000	decimal	Cue	
Marker 14	1:48.062	0:00.000	decimal	Cue	
Marker 15	1:55.454	0:00.000	decimal	Cue	
CD Track 15	2:00.160	0:00.000	decimal	Track	
Marker 16	2:03.345	0:00.000	decimal	Cue	
Marker 17	2:06.664	0:00.000	decimal	Cue	
CD Track 16	2:10.466	0:00.000	decimal	Track	
Marker 18	2:13.286	0:00.000	decimal	Cue	
CD Track 17	2:16.706	0:00.000	decimal	Track	
Marker 19	2:20.104	0:00.000	decimal	Cue	
CD Track 18	2:27.520	0:00.000	decimal	Track	
Marker 20	2:30.821	0:00.000	decimal	Cue	
CD Track 19	2:33.773	0:00.000	decimal	Track	
Marker 21	2:39.289	0:00.000	decimal	Cue	
Marker 22	2:42.660	0:00.000	decimal	Cue	
CD Track 20	2:46.480	0:00.000	decimal	Track	
Marker 24	2:49.101	0:00.000	decimal	Cue	
