verse,ar,en,timestamps
54:1,ٱقْتَرَبَتِ ٱلسَّاعَةُ,"The Hour has come near,",0:03.327
,وَٱنشَقَّ ٱلْقَمَرُ,and the moon has split [in two].,0:05.346
54:2,وَإِن يَرَوْا ءَايَةً,"And if they see a sign [i.e., miracle],",0:08.556
,يُعْرِضُوا وَيَقُولُوا,"they turn away and say,",0:10.773
,سِحْرٌ مُّسْتَمِرٌّ,"""Passing magic.""",0:12.706
54:3,وَكَذَّبُوا وَٱتَّبَعُوٓا أَهْوَآءَهُمْ ۚ,And they denied and followed their inclinations.,0:14.935
,وَكُلُّ أَمْرٍ مُّسْتَقِرٌّ,But for every matter is a [time of] settlement.,0:21.106
54:4,وَلَقَدْ جَآءَهُم مِّنَ ٱلْأَنۢبَآءِ,And there has already come to them of information,0:24.749
,مَا فِيهِ مُزْدَجَرٌ,that in which there is deterrence.,0:31.600
54:5,حِكْمَةٌۢ بَـٰلِغَةٌ ۖ,Extensive wisdom -,0:33.768
,فَمَا تُغْنِ ٱلنُّذُرُ,but warning does not avail [them].,0:36.773
54:6,فَتَوَلَّ عَنْهُمْ ۘ,"So leave them, [O Muhammad].",0:39.599
,يَوْمَ يَدْعُ ٱلدَّاعِ إِلَىٰ شَىْءٍ نُّكُرٍ,"The Day the Caller calls to something forbidding,",0:41.506
54:7,خُشَّعًا أَبْصَـٰرُهُمْ,"Their eyes humbled,",0:46.376
,يَخْرُجُونَ مِنَ ٱلْأَجْدَاثِ,they will emerge from the graves,0:48.880
,كَأَنَّهُمْ جَرَادٌ مُّنتَشِرٌ,"as if they were locusts spreading,",0:51.573
54:8,مُّهْطِعِينَ إِلَى ٱلدَّاعِ ۖ,Racing ahead toward the Caller.,0:55.982
,يَقُولُ ٱلْكَـٰفِرُونَ,"The disbelievers will say,",1:00.106
,هَـٰذَا يَوْمٌ عَسِرٌ,"""This is a difficult Day.""",1:02.213
54:9,كَذَّبَتْ قَبْلَهُمْ قَوْمُ نُوحٍ,"The people of Noah denied before them,",1:04.710
,فَكَذَّبُوا عَبْدَنَا وَقَالُوا,"and they denied Our servant and said,",1:08.173
,مَجْنُونٌ,"""A madman,""",1:11.320
,وَٱزْدُجِرَ,and he was repelled.,1:12.920
54:10,فَدَعَا رَبَّهُۥٓ,"So he invoked his Lord,",1:14.171
,أَنِّى مَغْلُوبٌ فَٱنتَصِرْ,"""Indeed, I am overpowered, so help.""",1:17.293
54:11,فَفَتَحْنَآ أَبْوَٰبَ ٱلسَّمَآءِ بِمَآءٍ مُّنْهَمِرٍ,Then We opened the gates of the heaven with rain pouring down,1:22.430
54:12,وَفَجَّرْنَا ٱلْأَرْضَ عُيُونًا,"And caused the earth to burst with springs,",1:31.965
,فَٱلْتَقَى ٱلْمَآءُ عَلَىٰٓ أَمْرٍ قَدْ قُدِرَ,and the waters met for a matter already predestined.,1:35.586
54:13,وَحَمَلْنَـٰهُ عَلَىٰ ذَاتِ أَلْوَٰحٍ وَدُسُرٍ,"And We carried him on a [construction of] planks and nails,",1:42.223
54:14,تَجْرِى بِأَعْيُنِنَا جَزَآءً لِّمَن كَانَ كُفِرَ,Sailing under Our observation as reward for he who had been denied.,1:48.062
54:15,وَلَقَد تَّرَكْنَـٰهَآ ءَايَةً,"And We left it as a sign,",1:55.454
,فَهَلْ مِن مُّدَّكِرٍ,so is there any who will remember?,2:00.160
54:16,فَكَيْفَ كَانَ عَذَابِى وَنُذُرِ,And how [severe] were My punishment and warning.,2:03.345
54:17,وَلَقَدْ يَسَّرْنَا ٱلْقُرْءَانَ لِلذِّكْرِ,"And We have certainly made the Qur'an easy for remembrance,",2:06.664
,فَهَلْ مِن مُّدَّكِرٍ,so is there any who will remember?,2:10.466
54:18,كَذَّبَتْ عَادٌ,'Aad denied;,2:13.286
,فَكَيْفَ كَانَ عَذَابِى وَنُذُرِ,and how [severe] were My punishment and warning.,2:16.706
54:19,إِنَّآ أَرْسَلْنَا عَلَيْهِمْ رِيحًا صَرْصَرًا,"Indeed, We sent upon them a screaming wind",2:20.104
,فِى يَوْمِ نَحْسٍ مُّسْتَمِرٍّ,"on a day of continuous misfortune,",2:27.520
54:20,تَنزِعُ ٱلنَّاسَ,Extracting the people,2:30.821
,كَأَنَّهُمْ أَعْجَازُ نَخْلٍ مُّنقَعِرٍ,as if they were trunks of palm trees uprooted.,2:33.773
54:21,فَكَيْفَ كَانَ عَذَابِى وَنُذُرِ,And how [severe] were My punishment and warning.,2:39.289
54:22,وَلَقَدْ يَسَّرْنَا ٱلْقُرْءَانَ لِلذِّكْرِ,"And We have certainly made the Qur'an easy for remembrance,",2:42.660
,فَهَلْ مِن مُّدَّكِرٍ,so is there any who will remember?,2:46.480
,,,2:49.101
