Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.378	0:00.000	decimal	Cue	
CD Track 01	0:02.480	0:00.000	decimal	Track	
CD Track 02	0:08.880	0:00.000	decimal	Track	
CD Track 03	0:11.840	0:00.000	decimal	Track	
CD Track 06	0:14.600	0:00.000	decimal	Track	
CD Track 04	0:16.813	0:00.000	decimal	Track	
Marker 02	0:20.813	0:00.000	decimal	Cue	
CD Track 08	0:25.053	0:00.000	decimal	Track	
Marker 03	0:28.648	0:00.000	decimal	Cue	
CD Track 11	0:33.133	0:00.000	decimal	Track	
CD Track 12	0:36.653	0:00.000	decimal	Track	
Marker 04	0:41.000	0:00.000	decimal	Cue	
