verse,ar,en,timestamps
28:32,اسْلُكْ يَدَكَ فِى جَيْبِكَ,Insert your hand into the opening of your garment;,0:00.378
,تَخْرُجْ بَيْضَاءَ مِنْ غَيْرِ سُوءٍ,"it will come out white, without disease.",0:02.480
,وَاضْمُمْ إِلَيْكَ جَنَاحَكَ مِنَ الرَّهْبِ,"And draw in your arm close to you [as prevention] from fear,",0:08.880
,فَذَنِكَ بُرْهَنَانِ مِن رَّبِّكَ,for those are two proofs from your Lord,0:11.840
,إِلَى فِرْعَوْنَ وَمَلَإِيهِ,to Pharaoh and his establishment.,0:14.600
,إِنَّهُمْ كَانُوا قَوْمًا فَسِقِينَ,"Indeed, they have been a people defiantly disobedient.""",0:16.813
28:33,قَالَ رَبِّ إِنِّى قَتَلْتُ مِنْهُمْ نَفْسًا,"He said, ""My Lord, indeed I killed from among them someone,",0:20.813
,فَأَخَافُ أَن يَقْتُلُونِ,and I fear they will kill me.,0:25.053
28:34,وَأَخِى هَرُونُ هُوَ أَفْصَحُ مِنِّى لِسَانًا,"And my brother Aaron is more fluent than me in tongue,",0:28.648
,فَأَرْسِلْهُ مَعِىَ رِدْءًا يُصَدِّقُنِى,"so send him with me as support, verifying me.",0:33.133
,إِنِّى أَخَافُ أَن يُكَذِّبُونِ,"Indeed, I fear that they will deny me.""",0:36.653
,,,0:41.000
