verse,ar,en,timestamps
3:146,وَكَأَيِّن مِّن نَّبِىٍّ قَـٰتَلَ,And how many a prophet [fought in battle,0:59.540
,مَعَهُۥ رِبِّيُّونَ كَثِيرٌ,and] with him fought many religious scholars.,1:03.640
,فَمَا وَهَنُوا لِمَآ أَصَابَهُمْ,But they never lost assurance due to what afflicted them,1:07.280
,فَمَا وَهَنُوا لِمَآ أَصَابَهُمْ فِى سَبِيلِ ٱللَّهِ,"But they never lost assurance due to what afflicted them in the cause of Allah,",1:11.253
,وَمَا ضَعُفُوا وَمَا ٱسْتَكَانُوا ۗ,nor did they weaken or submit.,1:17.493
,وَٱللَّهُ يُحِبُّ ٱلصَّـٰبِرِينَ,And Allah loves the steadfast.,1:20.680
3:147,وَمَا كَانَ قَوْلَهُمْ إِلَّآ أَن قَالُوا,"And their words were not but that they said,",1:24.025
,رَبَّنَا ٱغْفِرْ لَنَا ذُنُوبَنَا,"""Our Lord, forgive us our sins",1:30.186
,وَإِسْرَافَنَا فِىٓ أَمْرِنَا,and the excess [committed] in our affairs,1:33.186
,وَإِسْرَافَنَا فِىٓ أَمْرِنَا,and the excess [committed] in our affairs,1:37.413
,وَثَبِّتْ أَقْدَامَنَا,and plant firmly our feet,1:41.226
,وَٱنصُرْنَا عَلَى ٱلْقَوْمِ ٱلْكَـٰفِرِينَ,"and give us victory over the disbelieving people.""",1:43.426
3:148,فَـَٔاتَىٰهُمُ ٱللَّهُ ثَوَابَ ٱلدُّنْيَا,So Allah gave them the reward of this world,1:48.849
,وَحُسْنَ ثَوَابِ ٱلْـَٔاخِرَةِ ۗ,and the good reward of the Hereafter.,1:52.653
,وَٱللَّهُ يُحِبُّ ٱلْمُحْسِنِينَ,And Allah loves the doers of good.,1:55.520
,وَحُسْنَ ثَوَابِ ٱلْـَٔاخِرَةِ ۗ,and the good reward of the Hereafter.,1:58.827
,وَٱللَّهُ يُحِبُّ ٱلْمُحْسِنِينَ,And Allah loves the doers of good.,1:55.520
,,,1:58.827
