verse,ar,en,timestamps
55:1,الرَّحْمَنُ,The Most Merciful,0:00.197
55:2,عَلَّمَ الْقُرْءَانَ,"Taught the Qur’an,",0:04.688
55:3,خَلَقَ الْإِنسَنَ,"Created man,",0:09.033
55:4,عَلَّمَهُ الْبَيَانَ,[And] taught him eloquence.,0:11.757
55:5,الشَّمْسُ وَالْقَمَرُ بِحُسْبَانٍ,"The sun and the moon [move] by precise calculation,",0:15.436
55:6,وَالنَّجْمُ وَالشَّجَرُ يَسْجُدَانِ,And the stars and trees prostrate.,0:19.443
55:7,وَالسَّمَاءَ رَفَعَهَا وَوَضَعَ الْمِيزَانَ,And the heaven He raised and imposed the balance,0:24.236
55:8,أَلَّا تَطْغَوْا فِى الْمِيزَانِ,That you not transgress within the balance.,0:31.205
55:9,وَأَقِيمُوا الْوَزْنَ بِالْقِسْطِ وَلَا تُخْسِرُوا الْمِيزَانَ,And establish weight in justice and do not make deficient the balance.,0:35.354
55:10,وَالْأَرْضَ وَضَعَهَا لِلْأَنَامِ,And the earth He laid [out] for the creatures.,0:41.518
55:11,فِيهَا فَكِهَةٌ وَالنَّخْلُ ذَاتُ الْأَكْمَامِ,Therein is fruit and palm trees having sheaths [of dates],0:45.662
55:12,وَالْحَبُّ ذُو الْعَصْفِ وَالرَّيْحَانُ,And grain having husks and scented plants.,0:52.544
55:13,فَبِأَىِّ ءَالَاءِ رَبِّكُمَا تُكَذِّبَانِ,So which of the favors of your Lord would you deny?,0:57.025
55:14,خَلَقَ الْإِنسَنَ مِن صَلْصَلٍ كَالْفَخَّارِ,He created man from clay like [that of] pottery.,1:04.983
55:15,وَخَلَقَ الْجَانَّ مِن مَّارِجٍ مِّن نَّارٍ,And He created the jinn from a smokeless flame of fire.,1:13.085
55:16,فَبِأَىِّ ءَالَاءِ رَبِّكُمَا تُكَذِّبَانِ,So which of the favors of your Lord would you deny?,1:22.538
55:17,رَبُّ الْمَشْرِقَيْنِ وَرَبُّ الْمَغْرِبَيْنِ,[He is] Lord of the two sunrises and Lord of the two sunsets.,1:28.963
55:18,فَبِأَىِّ ءَالَاءِ رَبِّكُمَا تُكَذِّبَانِ,So which of the favors of your Lord would you deny?,1:33.611
55:19,مَرَجَ الْبَحْرَيْنِ يَلْتَقِيَانِ,"He released the two seas, meeting [one another];",1:41.435
55:20,بَيْنَهُمَا بَرْزَخٌ لَّا يَبْغِيَانِ,Between them is a barrier so neither of them transgresses.,1:45.598
55:21,فَبِأَىِّ ءَالَاءِ رَبِّكُمَا تُكَذِّبَانِ,So which of the favors of your Lord would you deny?,1:50.208
55:22,يَخْرُجُ مِنْهُمَا اللُّؤْلُؤُ وَالْمَرْجَانُ,From both of them emerge pearl and coral.,1:56.486
55:23,فَبِأَىِّ ءَالَاءِ رَبِّكُمَا تُكَذِّبَانِ,So which of the favors of your Lord would you deny?,2:01.648
55:24,وَلَهُ الْجَوَارِ الْمُنشََٔاتُ فِى الْبَحْرِ كَالْأَعْلَمِ,And to Him belong the ships [with sails] elevated in the sea like mountains.,2:09.868
55:25,فَبِأَىِّ ءَالَاءِ رَبِّكُمَا تُكَذِّبَانِ,So which of the favors of your Lord would you deny?,2:17.141
55:26,كُلُّ مَنْ عَلَيْهَا فَانٍ,"Everyone upon it [i.e., the earth] will perish,",2:23.779
55:27,وَيَبْقَى وَجْهُ رَبِّكَ,"And there will remain the Face of your Lord,",2:27.572
,ذُو الْجَلَلِ وَالْإِكْرَامِ,Owner of Majesty and Honor.,2:30.000
55:28,فَبِأَىِّ ءَالَاءِ رَبِّكُمَا تُكَذِّبَانِ,So which of the favors of your Lord would you deny?,2:33.892
55:29,يَسَْٔلُهُ مَن فِى السَّمَوَتِ وَالْأَرْضِ,Whoever is within the heavens and earth asks Him;,2:40.000
,كُلَّ يَوْمٍ هُوَ فِى شَأْنٍ,"every day He is in [i.e., bringing about] a matter.",2:44.520
55:30,فَبِأَىِّ ءَالَاءِ رَبِّكُمَا تُكَذِّبَانِ,So which of the favors of your Lord would you deny?,2:47.346
55:31,سَنَفْرُغُ لَكُمْ,"We will attend to you,",2:54.511
,أَيُّهَ الثَّقَلَانِ,O prominent beings.,2:56.133
55:32,فَبِأَىِّ ءَالَاءِ رَبِّكُمَا تُكَذِّبَانِ,So which of the favors of your Lord would you deny?,2:59.578
55:33,يَمَعْشَرَ الْجِنِّ وَالْإِنسِ,"O company of jinn and mankind,",3:05.500
,إِنِ اسْتَطَعْتُمْ أَن تَنفُذُوا,if you are able to pass beyond,3:09.520
,إِنِ اسْتَطَعْتُمْ أَن تَنفُذُوا,if you are able to pass beyond,3:14.666
