Name	Start	Duration	Time Format	Type	Description
Marker 01	12:58.542	0:00.000	decimal	Cue	
CD Track 03	12:59.680	0:00.000	decimal	Track	
CD Track 01	13:02.653	0:00.000	decimal	Track	
Marker 02	13:07.147	0:00.000	decimal	Cue	
CD Track 06	13:10.840	0:00.000	decimal	Track	
Marker 03	13:13.614	0:00.000	decimal	Cue	
CD Track 07	13:15.680	0:00.000	decimal	Track	
Marker 04	13:21.608	0:00.000	decimal	Cue	
CD Track 04	13:27.506	0:00.000	decimal	Track	
Marker 05	13:29.413	0:00.000	decimal	Track	
CD Track 08	13:33.786	0:00.000	decimal	Track	
CD Track 02	13:35.693	0:00.000	decimal	Track	
Marker 06	13:39.836	0:00.000	decimal	Cue	
CD Track 05	13:41.853	0:00.000	decimal	Track	
CD Track 09	13:45.293	0:00.000	decimal	Track	
Marker 07	13:49.543	0:00.000	decimal	Cue	
CD Track 10	13:54.586	0:00.000	decimal	Track	
Marker 08	13:56.559	0:00.000	decimal	Cue	
