verse,ar,en,timestamps
43:68,يَعِبَادِ,"[To whom Allah will say], ""O My servants,",12:58.542
,لَا خَوْفٌ عَلَيْكُمُ الْيَوْمَ,"no fear will there be concerning you this Day,",12:59.680
,وَلَا أَنتُمْ تَحْزَنُونَ,"nor will you grieve,",13:02.653
43:69,الَّذِينَ ءَامَنُوا بَِٔايَتِنَا,[You] who believed in Our verses,13:07.147
,وَكَانُوا مُسْلِمِينَ,and were Muslims.,13:10.840
43:70,ادْخُلُوا الْجَنَّةَ,"Enter Paradise,",13:13.614
,أَنتُمْ وَأَزْوَجُكُمْ تُحْبَرُونَ,"you and your kinds, delighted.""",13:15.680
43:71,يُطَافُ عَلَيْهِم بِصِحَافٍ مِّن ذَهَبٍ,Circulated among them will be plates,13:21.608
,وَأَكْوَابٍ,and vessels of gold.,13:27.506
,وَفِيهَا مَا تَشْتَهِيهِ الْأَنفُسُ,And therein is whatever the souls desire,13:29.413
,وَتَلَذُّ الْأَعْيُنُ,"and [what] delights the eyes,",13:33.786
,وَأَنتُمْ فِيهَا خَلِدُونَ,and you will abide therein eternally.,13:35.693
43:72,وَتِلْكَ الْجَنَّةُ,And that is Paradise,13:39.836
,الَّتِى أُورِثْتُمُوهَا,which you are made to inherit,13:41.853
,بِمَا كُنتُمْ تَعْمَلُونَ,for what you used to do.,13:45.293
43:73,لَكُمْ فِيهَا فَكِهَةٌ كَثِيرَةٌ,For you therein is much fruit,13:49.543
,مِّنْهَا تَأْكُلُونَ,from which you will eat.,13:54.586
,,,13:56.559
