verse,ar,en,timestamps
31:8,إِنَّ الَّذِينَ ءَامَنُوا وَعَمِلُوا الصَّلِحَتِ,"Indeed, those who believe and do righteous deeds -",0:00.336
,لَهُمْ جَنَّتُ النَّعِيمِ,"for them are the Gardens of Pleasure,",0:04.466
31:9,خَلِدِينَ فِيهَا,Wherein they abide eternally;,0:07.145
,خَلِدِينَ فِيهَا,Wherein they abide eternally;,0:09.400
,وَعْدَ اللَّهِ حَقًّا,[it is] the promise of Allah [which is] truth.,0:11.013
,وَهُوَ الْعَزِيزُ الْحَكِيمُ,"And He is the Exalted in Might, the Wise.",0:13.666
31:10,خَلَقَ السَّمَوَتِ بِغَيْرِ عَمَدٍ تَرَوْنَهَا,He created the heavens without pillars that you see,0:16.457
,وَأَلْقَى فِى الْأَرْضِ رَوَسِىَ,"and has cast into the earth firmly set mountains,",0:21.733
,أَن تَمِيدَ بِكُمْ,"lest it should shift with you,",0:24.200
,وَبَثَّ فِيهَا مِن كُلِّ دَابَّةٍ,and dispersed therein from every creature.,0:26.786
,وَأَنزَلْنَا مِنَ السَّمَاءِ مَاءً فَأَنبَتْنَا فِيهَا,And We sent down rain from the sky and made grow therein [plants],0:32.760
,فَأَنبَتْنَا فِيهَا مِن كُلِّ زَوْجٍ كَرِيمٍ,and made grow therein [plants] of every noble kind.,0:41.413
31:11,هَذَا خَلْقُ اللَّهِ,This is the creation of Allah.,0:48.163
,هَذَا خَلْقُ اللَّهِ,This is the creation of Allah.,0:53.186
,فَأَرُونِى مَاذَا خَلَقَ الَّذِينَ مِن دُونِهِ,So show Me what those other than Him have created.,0:58.093
,بَلِ الظَّلِمُونَ فِى ضَلَلٍ مُّبِينٍ,"Rather, the wrongdoers are in clear error.",1:02.973
,,,1:07.458
