verse,ar,en,timestamps
19:41,وَٱذْكُرْ فِى ٱلْكِتَـٰبِ إِبْرَٰهِيمَ ۚ,And mention in the Book [the story of] Abraham.,6:47.229
,إِنَّهُۥ كَانَ صِدِّيقًا نَّبِيًّا,"Indeed, he was a man of truth and a prophet.",6:50.493
19:42,إِذْ قَالَ لِأَبِيهِ يَـٰٓأَبَتِ,"[Mention] when he said to his father, ""O my father,",6:55.592
,لِمَ تَعْبُدُ مَا لَا يَسْمَعُ وَلَا يُبْصِرُ,why do you worship that which does not hear and does not see,6:58.386
,وَلَا يُغْنِى عَنكَ شَيْـًٔا,and will not benefit you at all?,7:02.346
19:43,يَـٰٓأَبَتِ إِنِّى قَدْ جَآءَنِى مِنَ ٱلْعِلْمِ,"O my father, indeed there has come to me of knowledge",7:06.273
,مَا لَمْ يَأْتِكَ,"that which has not come to you,",7:12.933
,فَٱتَّبِعْنِىٓ أَهْدِكَ صِرَٰطًا سَوِيًّا,so follow me; I will guide you to an even path.,7:14.666
19:44,يَـٰٓأَبَتِ لَا تَعْبُدِ ٱلشَّيْطَـٰنَ ۖ,"O my father, do not worship [i.e., obey] Satan.",7:19.627
,إِنَّ ٱلشَّيْطَـٰنَ كَانَ لِلرَّحْمَـٰنِ عَصِيًّا,"Indeed Satan has ever been, to the Most Merciful, disobedient.",7:25.040
19:45,يَـٰٓأَبَتِ إِنِّىٓ أَخَافُ أَن يَمَسَّكَ عَذَابٌ,"O my father, indeed I fear that there will touch you a punishment",7:30.297
,مِّنَ ٱلرَّحْمَـٰنِ,from the Most Merciful,7:35.986
,فَتَكُونَ لِلشَّيْطَـٰنِ وَلِيًّا,"so you would be to Satan a companion [in Hellfire].""",7:38.413
19:46,قَالَ أَرَاغِبٌ أَنتَ عَنْ ءَالِهَتِى يَـٰٓإِبْرَٰهِيمُ ۖ,"[His father] said, ""Have you no desire for my gods, O Abraham?",7:41.786
,لَئِن لَّمْ تَنتَهِ لَأَرْجُمَنَّكَ ۖ,"If you do not desist, I will surely stone you,",7:47.893
,وَٱهْجُرْنِى مَلِيًّا,"so avoid me a prolonged time.""",7:51.493
19:47,قَالَ سَلَـٰمٌ عَلَيْكَ ۖ,"[Abraham] said, ""Peace [i.e., safety] will be upon you.",7:53.904
,سَأَسْتَغْفِرُ لَكَ رَبِّىٓ ۖ,I will ask forgiveness for you of my Lord.,7:56.293
,إِنَّهُۥ كَانَ بِى حَفِيًّا,"Indeed, He is ever gracious to me.",7:58.946
19:48,وَأَعْتَزِلُكُمْ وَمَا تَدْعُونَ مِن دُونِ ٱللَّهِ,And I will leave you and those you invoke other than Allah,8:02.259
,وَأَدْعُوا رَبِّى,and will invoke my Lord.,8:07.146
,وَأَدْعُوا رَبِّى,and will invoke my Lord.,8:09.306
,عَسَىٰٓ أَلَّآ أَكُونَ بِدُعَآءِ رَبِّى شَقِيًّا,"I expect that I will not be in invocation to my Lord unhappy [i.e., disappointed].""",8:10.813
,,,8:16.750
