verse,ar,en,timestamps
11:89,وَيَـٰقَوْمِ,"And O my people,",0:00.362
,لَا يَجْرِمَنَّكُمْ شِقَاقِىٓ,let not [your] dissension from me,0:01.373
,أَن يُصِيبَكُم,cause you to be struck by that,0:05.693
,مِّثْلُ مَآ أَصَابَ قَوْمَ نُوحٍ,similar to what struck the people of Noah,0:08.000
,أَوْ قَوْمَ هُودٍ,or the people of Hud,0:11.373
,أَوْ قَوْمَ هُودٍ,or the people of Hud,0:13.680
,أَوْ قَوْمَ صَـٰلِحٍ ۚ,or the people of Salih.,0:15.186
,وَمَا قَوْمُ لُوطٍ مِّنكُم بِبَعِيدٍ,And the people of Lot are not from you far away.,0:17.000
11:90,وَٱسْتَغْفِرُوا رَبَّكُمْ,And ask forgiveness of your Lord,0:23.233
,ثُمَّ تُوبُوٓا إِلَيْهِ ۚ,and then repent to Him.,0:25.133
,إِنَّ رَبِّى رَحِيمٌ وَدُودٌ,"Indeed, my Lord is Merciful and Affectionate.""",0:29.586
,,,0:34.696
