verse,ar,en,timestamps
36:55,إِنَّ أَصْحَبَ الْجَنَّةِ الْيَوْمَ فِى شُغُلٍ فَكِهُونَ,"Indeed the companions of Paradise, that Day, will be amused in [joyful] occupation -",0:00.000
36:56,هُمْ وَأَزْوَجُهُمْ فِى ظِلَلٍ عَلَى الْأَرَائِكِ مُتَّكُِٔونَ,"They and their spouses - in shade, reclining on adorned couches.",0:09.611
36:57,لَهُمْ فِيهَا فَكِهَةٌ وَلَهُم مَّا يَدَّعُونَ,"For them therein is fruit, and for them is whatever they request [or wish]",0:18.192
36:58,سَلَمٌ قَوْلًا مِّن رَّبٍّ رَّحِيمٍ,"[And] ""Peace,"" a word from a Merciful Lord.",0:25.522
36:59,وَامْتَزُوا الْيَوْمَ أَيُّهَا الْمُجْرِمُونَ,"[Then He will say], ""But stand apart today, you criminals.",0:32.882
36:60,أَلَمْ أَعْهَدْ إِلَيْكُمْ يَبَنِى ءَادَمَ أَن لَّا تَعْبُدُوا الشَّيْطَنَ إِنَّهُ لَكُمْ عَدُوٌّ مُّبِينٌ,"Did I not enjoin upon you, O children of Adam, that you not worship Satan - [for] indeed, he is to you a clear enemy -",0:38.731
36:61,وَأَنِ اعْبُدُونِى هَذَا صِرَطٌ مُّسْتَقِيمٌ,And that you worship [only] Me? This is a straight path.,0:54.708
36:62,وَلَقَدْ أَضَلَّ مِنكُمْ جِبِلًّا كَثِيرًا أَفَلَمْ تَكُونُوا تَعْقِلُونَ,"And he had already led astray from among you much of creation, so did you not use reason?",1:04.757
36:63,هَذِهِ جَهَنَّمُ الَّتِى كُنتُمْ تُوعَدُونَ,This is the Hellfire which you were promised.,1:16.755
36:64,اصْلَوْهَا الْيَوْمَ بِمَا كُنتُمْ تَكْفُرُونَ,"[Enter to] burn therein today for what you used to deny.""",1:23.762
36:65,الْيَوْمَ نَخْتِمُ عَلَى أَفْوَهِهِمْ,"That Day, We will seal over their mouths,",1:31.020
,وَتُكَلِّمُنَا,and their hands will,1:36.866
,وَتُكَلِّمُنَا أَيْدِيهِمْ,"and their hands will speak to Us,",1:39.306
,وَتَشْهَدُ أَرْجُلُهُم,and their feet will testify,1:44.093
,وَتُكَلِّمُنَا أَيْدِيهِمْ,"and their hands will speak to Us,",1:47.106
,وَتَشْهَدُ أَرْجُلُهُم بِمَا كَانُوا يَكْسِبُونَ,and their feet will testify about what they used to earn.,1:54.360
,الْيَوْمَ نَخْتِمُ عَلَى أَفْوَهِهِمْ,"That Day, We will seal over their mouths,",2:02.000
,وَتُكَلِّمُنَا أَيْدِيهِمْ,"and their hands will speak to Us,",2:07.960
,وَتَشْهَدُ أَرْجُلُهُم بِمَا كَانُوا يَكْسِبُونَ,and their feet will testify about what they used to earn.,2:13.493
36:66,وَلَوْ نَشَاءُ لَطَمَسْنَا عَلَى أَعْيُنِهِمْ فَاسْتَبَقُوا الصِّرَطَ فَأَنَّى يُبْصِرُونَ,"And if We willed, We could have obliterated their eyes, and they would race to [find] the path, and how could they see?",2:21.316
36:67,وَلَوْ نَشَاءُ لَمَسَخْنَهُمْ عَلَى مَكَانَتِهِمْ فَمَا اسْتَطَعُوا مُضِيًّا وَلَا يَرْجِعُونَ,"And if We willed, We could have deformed them, [paralyzing them] in their places so they would not be able to proceed, nor could they return.",2:38.559
,,,2:55.813
