verse,ar,en,timestamps
26:87,وَلَا تُخْزِنِى يَوْمَ يُبْعَثُونَ,And do not disgrace me on the Day they are [all] resurrected -,0:00.045
26:88,يَوْمَ لَا يَنفَعُ مَالٌ,The Day when there will not benefit [anyone] wealth,0:03.402
,يَوْمَ لَا يَنفَعُ مَالٌ وَلَا بَنُونَ,The Day when there will not benefit [anyone] wealth or children,0:11.653
26:89,إِلَّا مَنْ أَتَى اللَّهَ بِقَلْبٍ سَلِيمٍ,"But only one who comes to Allah with a sound heart.""",0:18.117
26:90,وَأُزْلِفَتِ الْجَنَّةُ لِلْمُتَّقِينَ,And Paradise will be brought near [that Day] to the righteous.,0:24.900
26:91,وَبُرِّزَتِ الْجَحِيمُ لِلْغَاوِينَ,"And Hellfire will be brought forth for the deviators,",0:30.719
26:92,وَقِيلَ لَهُمْ,"And it will be said to them,",0:35.929
,أَيْنَ مَا كُنتُمْ تَعْبُدُونَ,"""Where are those you used to worship",0:37.786
26:93,مِن دُونِ اللَّهِ,Other than Allah?,0:40.835
,هَلْ يَنصُرُونَكُمْ أَوْ يَنتَصِرُونَ,"Can they help you or help themselves?""",0:46.613
26:94,فَكُبْكِبُوا فِيهَا,"So they will be overturned into it [i.e., Hellfire],",0:52.585
,هُمْ وَالْغَاوُنَ,they and the deviators,0:54.586
,فَكُبْكِبُوا فِيهَا,"So they will be overturned into it [i.e., Hellfire],",0:59.120
,هُمْ وَالْغَاوُنَ,they and the deviators,1:01.053
26:95,وَجُنُودُ إِبْلِيسَ أَجْمَعُونَ,"And the soldiers of Iblees, all together.",1:04.944
,,,1:09.589
