Name	Start	Duration	Time Format	Type	Description
Marker 01	1:35.177	0:00.000	decimal	Cue	
CD Track 01	1:41.893	0:00.000	decimal	Track	
Marker 02	1:47.903	0:00.000	decimal	Cue	
CD Track 02	1:50.586	0:00.000	decimal	Track	
CD Track 03	1:52.800	0:00.000	decimal	Track	
Marker 03	1:57.626	0:00.000	decimal	Cue	
CD Track 05	2:03.973	0:00.000	decimal	Track	
Marker 04	2:10.975	0:00.000	decimal	Cue	
Marker 05	2:16.760	0:00.000	decimal	Track	
CD Track 06	2:24.293	0:00.000	decimal	Track	
Marker 06	2:29.500	0:00.000	decimal	Cue	
