Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.000	0:00.000	decimal	Cue	
Marker 02	0:09.611	0:00.000	decimal	Cue	
Marker 03	0:18.192	0:00.000	decimal	Cue	
Marker 04	0:25.522	0:00.000	decimal	Cue	
Marker 06	0:32.882	0:00.000	decimal	Cue	
Marker 07	0:38.731	0:00.000	decimal	Cue	
Marker 08	0:54.708	0:00.000	decimal	Cue	
Marker 09	1:04.757	0:00.000	decimal	Cue	
Marker 10	1:16.755	0:00.000	decimal	Cue	
Marker 11	1:23.762	0:00.000	decimal	Cue	
Marker 12	1:31.020	0:00.000	decimal	Cue	
CD Track 10	1:36.866	0:00.000	decimal	Track	
CD Track 01	1:39.306	0:00.000	decimal	Track	
CD Track 11	1:44.093	0:00.000	decimal	Track	
CD Track 02	1:47.106	0:00.000	decimal	Track	
CD Track 04	1:54.360	0:00.000	decimal	Track	
CD Track 05	2:02.000	0:00.000	decimal	Track	
CD Track 06	2:07.960	0:00.000	decimal	Track	
CD Track 07	2:13.493	0:00.000	decimal	Track	
Marker 15	2:21.316	0:00.000	decimal	Cue	
Marker 16	2:38.559	0:00.000	decimal	Cue	
Marker 18	2:55.813	0:00.000	decimal	Cue	
