verse,ar,en,nl,timestamps
36:55,إِنَّ أَصْحَبَ الْجَنَّةِ الْيَوْمَ فِى شُغُلٍ فَكِهُونَ,"Indeed the companions of Paradise, that Day, will be amused in [joyful] occupation -","Waarlijk, de bewoners van het Paradijs zullen op die Dag bezig zijn met prettige dingen.",0:00.000
36:56,هُمْ وَأَزْوَجُهُمْ فِى ظِلَلٍ عَلَى الْأَرَائِكِ مُتَّكُِٔونَ,"They and their spouses - in shade, reclining on adorned couches.","Zij en hun vrouwen zullen zich in de schaduwen bevinden, op rustbanken leunend.",0:09.611
36:57,لَهُمْ فِيهَا فَكِهَةٌ وَلَهُم مَّا يَدَّعُونَ,"For them therein is fruit, and for them is whatever they request [or wish]",Zij zullen daar (alle soorten fruit) hebben en alles wat zij verlangen.,0:18.192
36:58,سَلَمٌ قَوْلًا مِّن رَّبٍّ رَّحِيمٍ,"[And] ""Peace,"" a word from a Merciful Lord.",(Er wordt hen gezegd:) “Vrede zij met u.” Een woord van een Meest Barmhartige Heer.,0:25.522
36:59,وَامْتَزُوا الْيَوْمَ أَيُّهَا الْمُجْرِمُونَ,"[Then He will say], ""But stand apart today, you criminals.","“Ga op deze Dag (van de gelovigen) weg, O jullie misdadigers!”",0:32.882
36:60,أَلَمْ أَعْهَدْ إِلَيْكُمْ يَبَنِى ءَادَمَ أَن لَّا تَعْبُدُوا الشَّيْطَنَ إِنَّهُ لَكُمْ عَدُوٌّ مُّبِينٌ,"Did I not enjoin upon you, O children of Adam, that you not worship Satan - [for] indeed, he is to you a clear enemy -","Heb Ik jullie, O kinderen van Adam, niet bevolen om de Sheitan niet te dienen? Waarlijk, hij is een duidelijke vijand voor jullie.",0:38.731
36:61,وَأَنِ اعْبُدُونِى هَذَا صِرَطٌ مُّسْتَقِيمٌ,And that you worship [only] Me? This is a straight path.,En aanbidt Mij. Dat is het rechte Pad.,0:54.708
36:62,وَلَقَدْ أَضَلَّ مِنكُمْ جِبِلًّا كَثِيرًا أَفَلَمْ تَكُونُوا تَعْقِلُونَ,"And he had already led astray from among you much of creation, so did you not use reason?","En voorwaar, hij heeft een groot gedeelte van jullie misleidt. Begrepen jullie het dan niet?",1:04.757
36:63,هَذِهِ جَهَنَّمُ الَّتِى كُنتُمْ تُوعَدُونَ,This is the Hellfire which you were promised.,Dit is de Hel waarvoor jullie gewaarschuwd zijn.,1:16.755
36:64,اصْلَوْهَا الْيَوْمَ بِمَا كُنتُمْ تَكْفُرُونَ,"[Enter to] burn therein today for what you used to deny.""",Ga haar op deze Dag binnen wegens wat jullie plachten niet te geloven.,1:23.762
36:65,الْيَوْمَ نَخْتِمُ عَلَى أَفْوَهِهِمْ,"That Day, We will seal over their mouths,",Deze Dag zullen Wij hun monden verzegelen,1:31.020
,وَتُكَلِّمُنَا,and their hands will,en hun handen zullen,1:36.866
,وَتُكَلِّمُنَا أَيْدِيهِمْ,"and their hands will speak to Us,","en hun handen zullen tot Ons spreken,",1:39.306
,وَتَشْهَدُ أَرْجُلُهُم,and their feet will testify,en hun benen zullen getuigen,1:44.093
,وَتُكَلِّمُنَا أَيْدِيهِمْ,"and their hands will speak to Us,","en hun handen zullen tot Ons spreken,",1:47.106
,وَتَشْهَدُ أَرْجُلُهُم بِمَا كَانُوا يَكْسِبُونَ,and their feet will testify about what they used to earn.,en hun benen zullen getuigen over wat zij plachten te verrichten.,1:54.360
,الْيَوْمَ نَخْتِمُ عَلَى أَفْوَهِهِمْ,"That Day, We will seal over their mouths,",Deze Dag zullen Wij hun monden verzegelen,2:02.000
,وَتُكَلِّمُنَا أَيْدِيهِمْ,"and their hands will speak to Us,","en hun handen zullen tot Ons spreken,",2:07.960
,وَتَشْهَدُ أَرْجُلُهُم بِمَا كَانُوا يَكْسِبُونَ,and their feet will testify about what they used to earn.,en hun benen zullen getuigen over wat zij plachten te verrichten.,2:13.493
36:66,وَلَوْ نَشَاءُ لَطَمَسْنَا عَلَى أَعْيُنِهِمْ فَاسْتَبَقُوا الصِّرَطَ فَأَنَّى يُبْصِرُونَ,"And if We willed, We could have obliterated their eyes, and they would race to [find] the path, and how could they see?","En als het Onze wil was geweest, dan hadden Wij zeker het gezichtsvermogen uitgewist van hun ogen, waarna zij een wedloop naar het Pad zouden houden, maar hoe zouden zij dan kunnen zien?",2:21.316
36:67,وَلَوْ نَشَاءُ لَمَسَخْنَهُمْ عَلَى مَكَانَتِهِمْ فَمَا اسْتَطَعُوا مُضِيًّا وَلَا يَرْجِعُونَ,"And if We willed, We could have deformed them, [paralyzing them] in their places so they would not be able to proceed, nor could they return.","En als het Onze wil was geweest, zouden Wij hen op hun plaatsen doen verstijven. Dan zouden zij niet in staat zijn om vooruit te komen, noch zouden zij kunnen ""terugkeren.",2:38.559
,,,,2:55.813
