Name	Start	Duration	Time Format	Type	Description
Marker 01	0:08.459	0:00.000	decimal	Cue	
Marker 07	0:13.870	0:00.000	decimal	Cue	
Marker 04	0:18.069	0:00.000	decimal	Cue	
Marker 05	0:22.482	0:00.000	decimal	Cue	
Marker 08	0:27.146	0:00.000	decimal	Cue	
Marker 06	0:33.813	0:00.000	decimal	Track	
Marker 09	0:37.649	0:00.000	decimal	Cue	
Marker 10	0:48.939	0:00.000	decimal	Cue	
Marker 11	0:57.138	0:00.000	decimal	Cue	
Marker 12	1:04.063	0:00.000	decimal	Cue	
Marker 13	1:12.906	0:00.000	decimal	Track	
Marker 14	1:20.270	0:00.000	decimal	Cue	
Marker 15	1:26.261	0:00.000	decimal	Cue	
Marker 16	1:35.000	0:00.000	decimal	Cue	
