Name	Start	Duration	Time Format	Type	Description
Marker 28	0:12.554	0:00.000	decimal	Cue	
Marker 01	0:35.100	0:00.000	decimal	Cue	
Marker 02	0:38.186	0:00.000	decimal	Track	
CD Track 01	0:40.360	0:00.000	decimal	Track	
Marker 03	0:47.747	0:00.000	decimal	Cue	
Marker 05	0:52.786	0:00.000	decimal	Track	
Marker 06	0:56.640	0:00.000	decimal	Track	
CD Track 02	0:57.880	0:00.000	decimal	Track	
Marker 07	1:04.466	0:00.000	decimal	Cue	
Marker 08	1:10.026	0:00.000	decimal	Track	
Marker 09	1:14.346	0:00.000	decimal	Track	
Marker 10	1:18.718	0:00.000	decimal	Cue	
Marker 26	1:27.639	0:00.000	decimal	Subclip	
Marker 11	1:29.146	0:00.000	decimal	Track	
Marker 12	1:35.826	0:00.000	decimal	Track	
Marker 13	1:42.500	0:00.000	decimal	Cue	
CD Track 03	1:44.600	0:00.000	decimal	Track	
Marker 16	1:46.933	0:00.000	decimal	Track	
CD Track 04	1:49.333	0:00.000	decimal	Track	
Marker 17	1:52.866	0:00.000	decimal	Track	
Marker 19	1:58.573	0:00.000	decimal	Track	
Marker 27	2:02.066	0:00.000	decimal	Track	
Marker 20	2:05.228	0:00.000	decimal	Cue	
Marker 21	2:12.173	0:00.000	decimal	Track	
Marker 22	2:18.865	0:00.000	decimal	Cue	
Marker 23	2:28.480	0:00.000	decimal	Track	
Marker 24	2:33.533	0:00.000	decimal	Track	
Marker 25	2:36.872	0:00.000	decimal	Cue	
Marker 29	2:56.868	0:00.000	decimal	Cue	
Marker 30	3:13.506	0:00.000	decimal	Cue	
Marker 32	3:52.434	0:00.000	decimal	Cue	
Marker 31	4:13.174	0:00.000	decimal	Cue	
