verse,ar,en,nl,timestamps
29:53,وَيَسْتَعْجِلُونَكَ بِالْعَذَابِ وَلَوْلَا أَجَلٌ مُّسَمًّى لَّجَاءَهُمُ الْعَذَابُ وَلَيَأْتِيَنَّهُم بَغْتَةً وَهُمْ لَا يَشْعُرُونَ,"And they urge you to hasten the punishment. And if not for [the decree of] a specified term, punishment would have reached them. But it will surely come to them suddenly while they perceive not.","En zij vragen jou om de bestraffing te laten bespoedigen. En als er geen vastgestelde termijn was, dan zou de bestraffing zeker reeds tot hen zijn gekomen. En die zal zeker plotseling tot hen komen terwijl zij het niet voorzien!",0:12.554
29:54,يَسْتَعْجِلُونَكَ بِالْعَذَابِ,They urge you to hasten the punishment.,Zij vragen je om de bestraffing te laten bespoedigen.,0:35.100
,وَإِنَّ,"And indeed,",En waarlijk!,0:38.186
,جَهَنَّمَ لَمُحِيطَةٌ بِالْكَفِرِينَ,Hell will be encompassing of the disbelievers,Hel zal de ongelovigen zeker omsluiten.,0:40.360
29:55,يَوْمَ يَغْشَىهُمُ الْعَذَابُ مِن فَوْقِهِمْ,On the Day the punishment will cover them from above them,Op de Dag waarop de bestraffing hen van boven,0:47.747
,وَمِن تَحْتِ أَرْجُلِهِمْ,and from below their feet,en van onder hun voeten zal bedekken.,0:52.786
,وَيَقُولُ,"and it is said,",En Hij zal zeggen:,0:56.640
,ذُوقُوا مَا كُنتُمْ تَعْمَلُونَ,"""Taste [the result of] what you used to do.""",“Proef wat jullie gewoonlijk deden.”,0:57.880
29:56,يَعِبَادِىَ الَّذِينَ ءَامَنُوا,"O My servants who have believed,",O Mijn dienaren die geloven!,1:04.466
,إِنَّ أَرْضِى وَسِعَةٌ,"indeed My earth is spacious,","Zeker, Mijn aarde is uitgestrekt.",1:10.026
,فَإِيَّىَ فَاعْبُدُونِ,so worship only Me.,Aanbidt mij daarom slechts Mij.,1:14.346
29:57,كُلُّ نَفْسٍ ذَائِقَةُ الْمَوْتِ,Every soul will taste death.,Iedereen zal de dood proeven.,1:18.718
,كُلُّ نَفْسٍ ذَائِقَةُ الْمَوْتِ,Every soul will taste death.,Iedereen zal de dood proeven.,"1:29.146,1:27.639"
,ثُمَّ إِلَيْنَا تُرْجَعُونَ,Then to Us will you be returned.,Daarna zullen jullie tot Ons terugkeren.,1:35.826
29:58,وَالَّذِينَ ءَامَنُوا,And those who have believed,En degenen die geloven,1:42.500
,وَعَمِلُوا الصَّلِحَتِ,and done righteous deeds,"en goede daden verrichten,",1:44.600
,لَنُبَوِّئَنَّهُم,We will surely assign to them,hen zullen Wij zeker,1:46.933
,مِّنَ الْجَنَّةِ غُرَفًا,of Paradise [elevated] chambers,"liefelijke verblijven geven in het Paradijs,",1:49.333
,غُرَفًا تَجْرِى مِن تَحْتِهَا الْأَنْهَرُ,"chambers beneath which rivers flow,","liefelijke verblijven, waaronder rivieren stromen,",1:52.866
,خَلِدِينَ فِيهَا,wherein they abide eternally.,om daar voor altijd in te wonen.,1:58.573
,نِعْمَ أَجْرُ الْعَمِلِينَ,Excellent is the reward of the [righteous] workers,Voortreffelijk is de beloning voor hen die (goede) werken verrichten.,2:02.066
29:59,الَّذِينَ صَبَرُوا وَعَلَى رَبِّهِمْ يَتَوَكَّلُونَ,Who have been patient and upon their Lord rely.,Degenen die geduldig zijn en hun vertrouwen (alleen) bij hun Heer leggen.,2:05.228
,الَّذِينَ صَبَرُوا وَعَلَى رَبِّهِمْ يَتَوَكَّلُونَ,Who have been patient and upon their Lord rely.,Degenen die geduldig zijn en hun vertrouwen (alleen) bij hun Heer leggen.,2:12.173
