verse,ar,en,timestamps
68:1,نٓ ۚ,Nun.,0:00.104
,وَٱلْقَلَمِ وَمَا يَسْطُرُونَ,"By the pen and what they inscribe,",0:03.554
68:2,مَآ أَنتَ بِنِعْمَةِ رَبِّكَ بِمَجْنُونٍ,"You are not, [O Muhammad], by the favor of your Lord, a madman.",0:06.926
68:3,وَإِنَّ لَكَ لَأَجْرًا غَيْرَ مَمْنُونٍ,"And indeed, for you is a reward uninterrupted.",0:11.906
68:4,وَإِنَّكَ لَعَلَىٰ خُلُقٍ عَظِيمٍ,"And indeed, you are of a great moral character.",0:16.653
68:5,فَسَتُبْصِرُ وَيُبْصِرُونَ,So you will see and they will see.,0:21.133
68:6,بِأَييِّكُمُ ٱلْمَفْتُونُ,Which of you is the afflicted [by a devil].,0:25.149
68:7,إِنَّ رَبَّكَ هُوَ أَعْلَمُ بِمَن ضَلَّ عَن سَبِيلِهِۦ,"Indeed, your Lord is most knowing of who has gone astray from His way,",0:27.704
,وَهُوَ أَعْلَمُ بِٱلْمُهْتَدِينَ,and He is most knowing of the [rightly] guided.,0:32.733
,,,0:36.672
