Name	Start	Duration	Time Format	Type	Description
Marker 01	0:39.664	0:00.000	decimal	Cue	
Marker 02	1:23.282	0:00.000	decimal	Cue	
CD Track 01	1:27.960	0:00.000	decimal	Track	
CD Track 02	1:32.000	0:00.000	decimal	Track	
CD Track 03	1:41.120	0:00.000	decimal	Track	
CD Track 04	1:49.240	0:00.000	decimal	Track	
CD Track 05	1:53.920	0:00.000	decimal	Track	
Marker 03	2:01.315	0:00.000	decimal	Cue	
CD Track 06	2:06.346	0:00.000	decimal	Track	
CD Track 07	2:09.520	0:00.000	decimal	Track	
CD Track 08	2:11.546	0:00.000	decimal	Track	
CD Track 09	2:14.320	0:00.000	decimal	Track	
Marker 04	2:19.211	0:00.000	decimal	Cue	
Marker 05	2:48.256	0:00.000	decimal	Cue	
Marker 06	3:11.835	0:00.000	decimal	Cue	
