verse,ar,en,timestamps
5:72,لَقَدْ كَفَرَ الَّذِينَ قَالُوا إِنَّ اللَّهَ هُوَ الْمَسِيحُ ابْنُ مَرْيَمَ وَقَالَ الْمَسِيحُ يَبَنِى إِسْرَءِيلَ اعْبُدُوا اللَّهَ رَبِّى وَرَبَّكُمْ إِنَّهُ مَن يُشْرِكْ بِاللَّهِ فَقَدْ حَرَّمَ اللَّهُ عَلَيْهِ الْجَنَّةَ وَمَأْوَىهُ النَّارُ وَمَا لِلظَّلِمِينَ مِنْ أَنصَارٍ,"They have certainly disbelieved who say, ""Allah is the Messiah, the son of Mary"" while the Messiah has said, ""O Children of Israel, worship Allah, my Lord and your Lord."" Indeed, he who associates others with Allah - Allah has forbidden him Paradise, and his refuge is the Fire. And there are not for the wrongdoers any helpers.",0:39.664
5:73,لَّقَدْ كَفَرَ الَّذِينَ قَالُوا,"They have certainly disbelieved who say,",1:23.282
,إِنَّ اللَّهَ ثَالِثُ ثَلَثَةٍ,"""Allah is the third of three.""",1:27.960
,وَمَا مِنْ إِلَهٍ إِلَّا إِلَهٌ وَحِدٌ,And there is no god except one God.,1:32.000
,وَمَا مِنْ إِلَهٍ إِلَّا إِلَهٌ وَحِدٌ,And there is no god except one God.,1:41.120
,وَإِن لَّمْ يَنتَهُوا عَمَّا يَقُولُونَ,"And if they do not desist from what they are saying,",1:49.240
,لَيَمَسَّنَّ الَّذِينَ كَفَرُوا مِنْهُمْ عَذَابٌ أَلِيمٌ,there will surely afflict the disbelievers among them a painful punishment.,1:53.920
5:74,أَفَلَا يَتُوبُونَ إِلَى اللَّهِ,So will they not repent to Allah,2:01.315
,أَفَلَا يَتُوبُونَ إِلَى اللَّهِ,So will they not repent to Allah,2:06.346
,وَيَسْتَغْفِرُونَهُ,and seek His forgiveness?,2:09.520
,وَاللَّهُ غَفُورٌ,And Allah is Forgiving,2:11.546
,وَاللَّهُ غَفُورٌ رَّحِيمٌ,And Allah is Forgiving and Merciful.,2:14.320
5:75,مَّا الْمَسِيحُ ابْنُ مَرْيَمَ إِلَّا رَسُولٌ قَدْ خَلَتْ مِن قَبْلِهِ الرُّسُلُ وَأُمُّهُ صِدِّيقَةٌ كَانَا يَأْكُلَانِ الطَّعَامَ انظُرْ كَيْفَ نُبَيِّنُ لَهُمُ الْءَايَتِ ثُمَّ انظُرْ أَنَّى يُؤْفَكُونَ,"The Messiah, son of Mary, was not but a messenger; [other] messengers have passed on before him. And his mother was a supporter of truth. They both used to eat food. Look how We make clear to them the signs; then look how they are deluded.",2:19.211
5:76,قُلْ أَتَعْبُدُونَ مِن دُونِ اللَّهِ مَا لَا يَمْلِكُ لَكُمْ ضَرًّا وَلَا نَفْعًا وَاللَّهُ هُوَ السَّمِيعُ الْعَلِيمُ,"Say, ""Do you worship besides Allah that which holds for you no [power of] harm or benefit while it is Allah who is the Hearing, the Knowing?""",2:48.256
,,,3:11.835
