Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.176	0:00.000	decimal	Cue	
Marker 02	0:07.770	0:00.000	decimal	Cue	
Marker 03	0:14.363	0:00.000	decimal	Cue	
CD Track 01	0:16.306	0:00.000	decimal	Track	
Marker 05	0:21.448	0:00.000	decimal	Cue	
CD Track 02	0:24.706	0:00.000	decimal	Track	
Marker 06	0:29.542	0:00.000	decimal	Cue	
Marker 07	0:37.934	0:00.000	decimal	Cue	
Marker 08	0:44.654	0:00.000	decimal	Cue	
CD Track 03	0:49.853	0:00.000	decimal	Track	
CD Track 04	0:53.373	0:00.000	decimal	Track	
CD Track 05	0:56.693	0:00.000	decimal	Track	
CD Track 06	1:01.920	0:00.000	decimal	Track	
CD Track 07	1:05.760	0:00.000	decimal	Track	
CD Track 08	1:09.666	0:00.000	decimal	Track	
Marker 09	1:15.749	0:00.000	decimal	Cue	
