verse,ar,en,timestamps
6:61,وَهُوَ الْقَاهِرُ فَوْقَ عِبَادِهِ,"And He is the subjugator over His servants,",0:00.627
,وَيُرْسِلُ عَلَيْكُمْ حَفَظَةً,and He sends over you guardian-angels,0:04.386
,حَتَّى إِذَا جَاءَ أَحَدَكُمُ الْمَوْتُ,"until, when death comes to one of you,",0:07.573
,تَوَفَّتْهُ رُسُلُنَا,"Our messengers [i.e., angels of death] take him,",0:12.586
,وَهُمْ لَا يُفَرِّطُونَ,and they do not fail [in their duties].,0:14.600
6:62,ثُمَّ رُدُّوا إِلَى اللَّهِ,"Then they [i.e., His servants] are returned to Allah,",0:17.927
,مَوْلَىهُمُ الْحَقِّ,their true Lord.,0:21.093
,أَلَا لَهُ الْحُكْمُ,"Unquestionably, His is the judgement,",0:23.893
,وَهُوَ أَسْرَعُ الْحَسِبِينَ,and He is the swiftest of accountants.,0:25.613
,,,0:29.182
