Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.000	0:00.000	decimal	Cue	
CD Track 01	0:03.906	0:00.000	decimal	Track	
CD Track 02	0:05.146	0:00.000	decimal	Track	
CD Track 03	0:06.360	0:00.000	decimal	Track	
CD Track 05	0:10.280	0:00.000	decimal	Track	
CD Track 06	0:12.920	0:00.000	decimal	Track	
CD Track 10	0:15.186	0:00.000	decimal	Track	
CD Track 07	0:17.866	0:00.000	decimal	Track	
CD Track 08	0:20.080	0:00.000	decimal	Track	
CD Track 09	0:25.080	0:00.000	decimal	Track	
Marker 02	0:27.674	0:00.000	decimal	Cue	
