Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.556	0:00.000	decimal	Cue	
Marker 02	0:06.297	0:00.000	decimal	Cue	
Marker 03	0:11.634	0:00.000	decimal	Cue	
Marker 04	0:21.299	0:00.000	decimal	Cue	
Marker 05	0:26.847	0:00.000	decimal	Cue	
CD Track 01	0:29.586	0:00.000	decimal	Track	
Marker 06	0:33.088	0:00.000	decimal	Cue	
CD Track 02	0:36.760	0:00.000	decimal	Track	
Marker 07	0:42.386	0:00.000	decimal	Cue	
CD Track 03	0:46.520	0:00.000	decimal	Track	
CD Track 04	0:51.133	0:00.000	decimal	Track	
CD Track 05	0:56.186	0:00.000	decimal	Track	
CD Track 06	1:00.000	0:00.000	decimal	Track	
Marker 08	1:05.526	0:00.000	decimal	Cue	
Marker 09	1:10.998	0:00.000	decimal	Cue	
CD Track 07	1:18.613	0:00.000	decimal	Track	
Marker 10	1:22.754	0:00.000	decimal	Cue	
CD Track 08	1:25.626	0:00.000	decimal	Track	
Marker 11	1:29.638	0:00.000	decimal	Cue	
CD Track 09	1:38.560	0:00.000	decimal	Track	
Marker 12	1:42.411	0:00.000	decimal	Cue	
CD Track 10	1:46.413	0:00.000	decimal	Track	
Marker 13	1:53.585	0:00.000	decimal	Cue	
