Name	Start	Duration	Time Format	Type	Description
Marker 02	0:00.182	0:00.000	decimal	Cue	
Marker 04	0:04.706	0:00.000	decimal	Track	
Marker 05	0:08.840	0:00.000	decimal	Track	
Marker 06	0:15.383	0:00.000	decimal	Cue	
CD Track 01	0:20.826	0:00.000	decimal	Track	
CD Track 03	0:28.546	0:00.000	decimal	Track	
CD Track 04	0:35.920	0:00.000	decimal	Track	
CD Track 05	0:46.120	0:00.000	decimal	Track	
CD Track 06	0:55.786	0:00.000	decimal	Track	
CD Track 07	1:00.920	0:00.000	decimal	Track	
CD Track 08	1:06.906	0:00.000	decimal	Track	
CD Track 09	1:14.426	0:00.000	decimal	Track	
CD Track 10	1:16.186	0:00.000	decimal	Track	
Marker 07	1:25.760	0:00.000	decimal	Cue	
