Name	Start	Duration	Time Format	Type	Description
Marker 01	0:06.056	0:00.000	decimal	Cue	
CD Track 02	0:09.480	0:00.000	decimal	Track	
Marker 02	0:16.419	0:00.000	decimal	Cue	
CD Track 35	0:19.840	0:00.000	decimal	Track	
CD Track 01	0:24.266	0:00.000	decimal	Track	
Marker 04	0:28.778	0:00.000	decimal	Cue	
CD Track 03	0:34.880	0:00.000	decimal	Track	
CD Track 04	0:40.573	0:00.000	decimal	Track	
CD Track 36	0:42.200	0:00.000	decimal	Track	
Marker 05	0:45.829	0:00.000	decimal	Cue	
CD Track 05	0:49.586	0:00.000	decimal	Track	
Marker 06	0:58.550	0:00.000	decimal	Cue	
CD Track 06	1:06.373	0:00.000	decimal	Track	
CD Track 07	1:12.120	0:00.000	decimal	Track	
Marker 07	1:17.375	0:00.000	decimal	Cue	
CD Track 08	1:23.760	0:00.000	decimal	Track	
Marker 08	1:26.608	0:00.000	decimal	Cue	
CD Track 37	1:30.333	0:00.000	decimal	Track	
Marker 09	1:36.019	0:00.000	decimal	Cue	
CD Track 09	1:39.920	0:00.000	decimal	Track	
CD Track 38	1:44.946	0:00.000	decimal	Track	
CD Track 10	1:48.400	0:00.000	decimal	Track	
Marker 10	1:51.867	0:00.000	decimal	Cue	
CD Track 11	1:58.520	0:00.000	decimal	Track	
CD Track 12	2:05.306	0:00.000	decimal	Track	
Marker 12	2:12.266	0:00.000	decimal	Cue	
CD Track 14	2:18.573	0:00.000	decimal	Track	
Marker 13	2:27.372	0:00.000	decimal	Cue	
CD Track 15	2:30.666	0:00.000	decimal	Track	
Marker 14	2:35.243	0:00.000	decimal	Cue	
CD Track 16	2:40.933	0:00.000	decimal	Track	
Marker 15	2:48.910	0:00.000	decimal	Cue	
CD Track 17	2:53.080	0:00.000	decimal	Track	
Marker 16	2:59.952	0:00.000	decimal	Cue	
CD Track 40	3:02.293	0:00.000	decimal	Track	
Marker 17	3:07.601	0:00.000	decimal	Cue	
CD Track 19	3:12.480	0:00.000	decimal	Track	
CD Track 18	3:17.853	0:00.000	decimal	Track	
Marker 18	3:22.355	0:00.000	decimal	Cue	
CD Track 41	3:25.026	0:00.000	decimal	Track	
CD Track 20	3:32.946	0:00.000	decimal	Track	
Marker 19	3:36.426	0:00.000	decimal	Cue	
CD Track 42	3:39.133	0:00.000	decimal	Track	
CD Track 44	3:45.906	0:00.000	decimal	Track	
CD Track 21	3:47.613	0:00.000	decimal	Track	
Marker 20	3:51.695	0:00.000	decimal	Cue	
CD Track 43	3:57.093	0:00.000	decimal	Track	
Marker 21	4:01.856	0:00.000	decimal	Cue	
CD Track 45	4:10.920	0:00.000	decimal	Track	
CD Track 22	4:12.493	0:00.000	decimal	Track	
CD Track 23	4:17.546	0:00.000	decimal	Track	
Marker 22	4:23.532	0:00.000	decimal	Cue	
CD Track 25	4:30.786	0:00.000	decimal	Track	
CD Track 24	4:35.266	0:00.000	decimal	Track	
Marker 23	4:40.146	0:00.000	decimal	Cue	
CD Track 46	4:44.213	0:00.000	decimal	Track	
CD Track 26	4:46.693	0:00.000	decimal	Track	
Marker 24	4:52.332	0:00.000	decimal	Cue	
CD Track 27	5:00.520	0:00.000	decimal	Track	
Marker 25	5:09.863	0:00.000	decimal	Cue	
CD Track 29	5:15.600	0:00.000	decimal	Track	
CD Track 28	5:20.920	0:00.000	decimal	Track	
Marker 26	5:24.361	0:00.000	decimal	Cue	
CD Track 47	5:27.826	0:00.000	decimal	Track	
Marker 27	5:30.624	0:00.000	decimal	Cue	
CD Track 48	5:34.440	0:00.000	decimal	Track	
Marker 28	5:39.971	0:00.000	decimal	Cue	
CD Track 30	5:46.533	0:00.000	decimal	Track	
Marker 29	5:53.446	0:00.000	decimal	Cue	
CD Track 49	5:57.653	0:00.000	decimal	Track	
CD Track 31	6:02.733	0:00.000	decimal	Track	
Marker 30	6:10.250	0:00.000	decimal	Cue	
CD Track 53	6:11.720	0:00.000	decimal	Track	
CD Track 50	6:16.000	0:00.000	decimal	Track	
CD Track 32	6:17.773	0:00.000	decimal	Track	
Marker 31	6:25.853	0:00.000	decimal	Cue	
CD Track 51	6:28.080	0:00.000	decimal	Track	
CD Track 52	6:32.120	0:00.000	decimal	Track	
CD Track 33	6:35.040	0:00.000	decimal	Track	
Marker 33	6:40.970	0:00.000	decimal	Cue	
CD Track 54	6:42.560	0:00.000	decimal	Track	
CD Track 34	6:47.840	0:00.000	decimal	Track	
Marker 34	6:57.541	0:00.000	decimal	Cue	
