Name	Start	Duration	Time Format	Type	Description
Marker 01	0:11.095	0:00.000	decimal	Cue	
Marker 02	0:18.354	0:00.000	decimal	Cue	
Marker 03	0:22.927	0:00.000	decimal	Cue	
Marker 04	0:28.199	0:00.000	decimal	Cue	
Marker 05	0:30.441	0:00.000	decimal	Cue	
Marker 06	0:36.331	0:00.000	decimal	Cue	
Marker 07	0:40.254	0:00.000	decimal	Cue	
Marker 08	0:43.528	0:00.000	decimal	Cue	
Marker 09	0:47.574	0:00.000	decimal	Cue	
Marker 10	0:51.948	0:00.000	decimal	Cue	
Marker 11	0:56.361	0:00.000	decimal	Cue	
Marker 12	1:01.117	0:00.000	decimal	Cue	
Marker 13	1:07.443	0:00.000	decimal	Cue	
Marker 14	1:12.007	0:00.000	decimal	Cue	
Marker 15	1:24.169	0:00.000	decimal	Cue	
Marker 16	1:29.461	0:00.000	decimal	Cue	
Marker 17	1:34.129	0:00.000	decimal	Cue	
Marker 18	1:39.570	0:00.000	decimal	Cue	
Marker 19	1:46.100	0:00.000	decimal	Cue	
Marker 20	1:53.694	0:00.000	decimal	Cue	
Marker 21	1:59.411	0:00.000	decimal	Cue	
Marker 22	2:06.723	0:00.000	decimal	Cue	
Marker 23	2:09.261	0:00.000	decimal	Cue	
Marker 24	2:17.122	0:00.000	decimal	Cue	
Marker 25	2:23.170	0:00.000	decimal	Cue	
Marker 26	2:28.964	0:00.000	decimal	Cue	
Marker 27	2:34.901	0:00.000	decimal	Cue	
Marker 28	2:41.215	0:00.000	decimal	Cue	
Marker 29	2:45.732	0:00.000	decimal	Cue	
Marker 30	2:50.589	0:00.000	decimal	Cue	
Marker 31	2:58.759	0:00.000	decimal	Cue	
Marker 32	3:03.398	0:00.000	decimal	Cue	
Marker 33	3:10.811	0:00.000	decimal	Cue	
Marker 34	3:13.883	0:00.000	decimal	Cue	
Marker 35	3:17.491	0:00.000	decimal	Cue	
Marker 36	3:25.065	0:00.000	decimal	Cue	
Marker 37	3:37.858	0:00.000	decimal	Cue	
CD Track 09	3:40.813	0:00.000	decimal	Track	
CD Track 02	3:45.453	0:00.000	decimal	Track	
CD Track 03	3:48.346	0:00.000	decimal	Track	
Marker 38	3:53.731	0:00.000	decimal	Cue	
CD Track 04	4:02.293	0:00.000	decimal	Track	
CD Track 05	4:07.893	0:00.000	decimal	Track	
Marker 40	4:10.920	0:00.000	decimal	Cue	
Marker 41	4:14.400	0:00.000	decimal	Cue	
Marker 42	4:23.755	0:00.000	decimal	Cue	
CD Track 06	4:33.866	0:00.000	decimal	Track	
CD Track 08	4:41.920	0:00.000	decimal	Track	
Marker 46	4:51.000	0:00.000	decimal	Cue	
