verse,ar,en,timestamps
78:1,عَمَّ يَتَسَاءَلُونَ,About what are they asking one another?,0:11.095
78:2,عَنِ النَّبَإِ الْعَظِيمِ,About the great news -,0:18.354
78:3,الَّذِى هُمْ فِيهِ مُخْتَلِفُونَ,That over which they are in disagreement.,0:22.927
78:4,كَلَّا سَيَعْلَمُونَ,No! They are going to know.,0:28.199
78:5,ثُمَّ كَلَّا سَيَعْلَمُونَ,"Then, no! They are going to know.",0:30.441
78:6,أَلَمْ نَجْعَلِ الْأَرْضَ مِهَدًا,Have We not made the earth a resting place?,0:36.331
78:7,وَالْجِبَالَ أَوْتَادًا,And the mountains as stakes?,0:40.254
78:8,وَخَلَقْنَكُمْ أَزْوَجًا,And We created you in pairs.,0:43.528
78:9,وَجَعَلْنَا نَوْمَكُمْ سُبَاتًا,And made your sleep [a means for] rest,0:47.574
78:10,وَجَعَلْنَا الَّيْلَ لِبَاسًا,And made the night as clothing.,0:51.948
78:11,وَجَعَلْنَا النَّهَارَ مَعَاشًا,And made the day for livelihood.,0:56.361
78:12,وَبَنَيْنَا فَوْقَكُمْ سَبْعًا شِدَادًا,And constructed above you seven strong [heavens].,1:01.117
78:13,وَجَعَلْنَا سِرَاجًا وَهَّاجًا,And made [therein] a burning lamp,1:07.443
78:14,وَأَنزَلْنَا مِنَ الْمُعْصِرَتِ مَاءً ثَجَّاجًا,"And sent down, from the rain clouds, pouring water.",1:12.007
78:15,لِّنُخْرِجَ بِهِ حَبًّا وَنَبَاتًا,That We may bring forth thereby grain and vegetation.,1:24.169
78:16,وَجَنَّتٍ أَلْفَافًا,And gardens of entwined growth.,1:29.461
78:17,إِنَّ يَوْمَ الْفَصْلِ كَانَ مِيقَتًا,"Indeed, the Day of Judgement is an appointed time -",1:34.129
78:18,يَوْمَ يُنفَخُ فِى الصُّورِ فَتَأْتُونَ أَفْوَاجًا,The Day the Horn is blown and you will come forth in multitudes,1:39.570
78:19,وَفُتِحَتِ السَّمَاءُ فَكَانَتْ أَبْوَبًا,And the heaven is opened and will become gateways.,1:46.100
78:20,وَسُيِّرَتِ الْجِبَالُ فَكَانَتْ سَرَابًا,And the mountains are removed and will be [but] a mirage.,1:53.694
78:21,إِنَّ جَهَنَّمَ كَانَتْ مِرْصَادًا,"Indeed, Hell has been lying in wait",1:59.411
78:22,لِّلطَّغِينَ مَـَٔابًا,"For the transgressors, a place of return,",2:06.723
78:23,لَّبِثِينَ فِيهَا أَحْقَابًا,In which they will remain for ages [unending].,2:09.261
78:24,لَّا يَذُوقُونَ فِيهَا بَرْدًا وَلَا شَرَابًا,They will not taste therein [any] coolness or drink.,2:17.122
78:25,إِلَّا حَمِيمًا وَغَسَّاقًا,Except scalding water and [foul] purulence -,2:23.170
78:26,جَزَاءً وِفَاقًا,An appropriate recompense.,2:28.964
78:27,إِنَّهُمْ كَانُوا لَا يَرْجُونَ حِسَابًا,"Indeed, they were not expecting an account",2:34.901
78:28,وَكَذَّبُوا بِـَٔايَتِنَا كِذَّابًا,And denied Our verses with [emphatic] denial.,2:41.215
78:29,وَكُلَّ شَىْءٍ أَحْصَيْنَهُ كِتَبًا,But all things We have enumerated in writing.,2:45.732
78:30,فَذُوقُوا فَلَن نَّزِيدَكُمْ إِلَّا عَذَابًا,"""So taste [the penalty], and never will We increase you except in torment.""",2:50.589
78:31,إِنَّ لِلْمُتَّقِينَ مَفَازًا,"Indeed, for the righteous is attainment -",2:58.759
78:32,حَدَائِقَ وَأَعْنَبًا,Gardens and grapevines.,3:03.398
78:33,وَكَوَاعِبَ أَتْرَابًا,And full-breasted [companions] of equal age.,3:10.811
78:34,وَكَأْسًا دِهَاقًا,And a full cup.,3:13.883
78:35,لَّا يَسْمَعُونَ فِيهَا لَغْوًا وَلَا كِذَّبًا,No ill speech will they hear therein or any falsehood -,3:17.491
78:36,جَزَاءً مِّن رَّبِّكَ عَطَاءً حِسَابًا,"[As] reward from your Lord, [a generous] gift [made due by] account,",3:25.065
78:37,رَّبِّ السَّمَوَتِ وَالْأَرْضِ,[From] the Lord of the heavens and the earth,3:37.858
,وَمَا بَيْنَهُمَا الرَّحْمَنِ,"and whatever is between them, the Most Merciful.",3:40.813
,وَمَا بَيْنَهُمَا الرَّحْمَنِ,"and whatever is between them, the Most Merciful.",3:45.453
,لَا يَمْلِكُونَ مِنْهُ خِطَابًا,They possess not from Him [authority for] speech.,3:48.346
78:38,يَوْمَ يَقُومُ الرُّوحُ وَالْمَلَئِكَةُ صَفًّا,"The Day that the Spirit [i.e., Gabriel] and the angels will stand in rows,",3:53.731
,لَّا يَتَكَلَّمُونَ إِلَّا مَنْ أَذِنَ لَهُ الرَّحْمَنُ,"they will not speak except for one whom the Most Merciful permits,",4:02.293
,وَقَالَ صَوَابًا,and he will say what is correct.,4:07.893
78:39,ذَلِكَ الْيَوْمُ الْحَقُّ,"That is the True [i.e., certain] Day;",4:10.920
,فَمَن شَاءَ اتَّخَذَ إِلَى رَبِّهِ مَـَٔابًا,so he who wills may take to his Lord a [way of] return.,4:14.400
78:40,إِنَّا أَنذَرْنَكُمْ عَذَابًا قَرِيبًا,"Indeed, We have warned you of an impending punishment",4:23.755
,يَوْمَ يَنظُرُ الْمَرْءُ مَا قَدَّمَتْ يَدَاهُ,on the Day when a man will observe what his hands have put forth,4:33.866
,وَيَقُولُ الْكَافِرُ يَلَيْتَنِى كُنتُ تُرَبًا,"and the disbeliever will say, ""Oh, I wish that I were dust!""",4:41.920
,,,4:51.000
