verse,ar,en,timestamps
36:77,أَوَلَمْ يَرَ الْإِنسَنُ أَنَّا خَلَقْنَهُ مِن نُّطْفَةٍ,Does man not consider that We created him from a [mere] sperm-drop -,0:00.283
,فَإِذَا هُوَ خَصِيمٌ مُّبِينٌ,then at once he is a clear adversary?,0:09.640
36:78,وَضَرَبَ لَنَا مَثَلًا وَنَسِىَ خَلْقَهُ,And he presents for Us an example and forgets his [own] creation.,0:16.440
,قَالَ مَن يُحْىِ الْعِظَمَ وَهِىَ رَمِيمٌ,"He says, ""Who will give life to bones while they are disintegrated?""",0:21.800
36:79,قُلْ يُحْيِيهَا الَّذِى أَنشَأَهَا أَوَّلَ مَرَّةٍ,"Say, ""He will give them life who produced them the first time;",0:29.543
,وَهُوَ بِكُلِّ خَلْقٍ عَلِيمٌ,"and He is, of all creation, Knowing.""",0:41.160
36:80,الَّذِى جَعَلَ لَكُم مِّنَ الشَّجَرِ الْأَخْضَرِ نَارًا,"[It is] He who made for you from the green tree, fire,",0:46.425
,فَإِذَا أَنتُم مِّنْهُ تُوقِدُونَ,and then from it you ignite.,0:52.746
36:81,أَوَلَيْسَ الَّذِى خَلَقَ السَّمَوَتِ وَالْأَرْضَ,Is not He who created the heavens and the earth,1:03.465
,بِقَدِرٍ عَلَى أَن يَخْلُقَ مِثْلَهُم,Able to create the likes of them?,1:08.466
,بَلَى,"Yes, [it is so];",1:16.026
,بَلَى وَهُوَ الْخَلَّقُ الْعَلِيمُ,"Yes, [it is so]; and He is the Knowing Creator.",1:17.306
36:82,إِنَّمَا أَمْرُهُ إِذَا أَرَادَ شَئًْا,His command is only when He intends a thing,1:24.311
,إِذَا أَرَادَ شَئًْا أَن يَقُولَ لَهُ,"when He intends a thing that He says to it,",1:36.706
,كُن فَيَكُونُ,"""Be,"" and it is.",1:43.893
36:83,فَسُبْحَنَ الَّذِى بِيَدِهِ مَلَكُوتُ كُلِّ شَىْءٍ,"So exalted is He in whose hand is the realm of all things,",1:50.074
,فَسُبْحَنَ الَّذِى بِيَدِهِ مَلَكُوتُ كُلِّ شَىْءٍ,"So exalted is He in whose hand is the realm of all things,",1:58.226
,وَإِلَيْهِ تُرْجَعُونَ,and to Him you will be returned.,2:06.080
,,,2:12.233
